sample_position,batch,microstep,optimizer_step,problem_id,content_hash,dataset,math_level,prompt_hash,target_hash,prompt_token_count,target_token_count_excluding_eos,active_label_token_count,combined_token_count,ignored_label_token_count,eos_active,truncation,sample_order_identity
11,3,3,1,gsm8k:openai/gsm8k:train:3126,c9cee6b3d6a180a7d575980a9e31b012e7717e713ec42399b6dac7c955d21a49,gsm8k,,c9cee6b3d6a180a7d575980a9e31b012e7717e713ec42399b6dac7c955d21a49,289ee89ffc392d1f73abe3cc0e68a4104e70995ce174a9ca613a64167dac2be6,196,283,284,480,196,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
12,3,3,1,gsm8k:openai/gsm8k:train:6608,d3af5d6f4d44317b57f835a6d09a4853ee6db6f4603369dae0c50e38f7bbc27d,gsm8k,,d3af5d6f4d44317b57f835a6d09a4853ee6db6f4603369dae0c50e38f7bbc27d,115418e8afd63ab45e28294d8c01b05b9fbe3f22b60515cfd055e7d4f11f8a38,192,328,329,521,192,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
13,4,4,1,gsm8k:openai/gsm8k:train:3469,a1e94f3baf527caac6004d45dc632dd395c9d31f35f9f63b71f5755f500715cf,gsm8k,,a1e94f3baf527caac6004d45dc632dd395c9d31f35f9f63b71f5755f500715cf,26ad73873fb3bb652e2a4829ae75b1263fbec6d52960288db5179c5aef33187c,169,141,142,311,169,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
14,4,4,1,gsm8k:openai/gsm8k:train:3675,c99929d7dbfcbae8f6442fbeb0e6b23c9b483e297a47d21f11134ac6c369735d,gsm8k,,c99929d7dbfcbae8f6442fbeb0e6b23c9b483e297a47d21f11134ac6c369735d,ed9a8347a0c2a9da46b226ab9aef369617127831323b5ebee6aee2a5cd104337,146,139,140,286,146,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
15,4,4,1,gsm8k:openai/gsm8k:train:2833,ff2522245ea447ca8fa7646af3d1da8420878157f0c0ca582532464a64bab7d9,gsm8k,,ff2522245ea447ca8fa7646af3d1da8420878157f0c0ca582532464a64bab7d9,b4b6d6384b8c593728861161561e32c035c7d0022eb9d4c09ed1c97381a4a0ba,194,185,186,380,194,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
16,4,4,1,gsm8k:openai/gsm8k:train:3615,b44cdb17340dd5a0184028365672b9712e6cd03dd96a3b6714691e7cce8cc815,gsm8k,,b44cdb17340dd5a0184028365672b9712e6cd03dd96a3b6714691e7cce8cc815,8245d35dc1f14042aec04b4eafd06c1b02f429e09a9266985418d518d867b582,167,133,134,301,167,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
17,5,5,2,gsm8k:openai/gsm8k:train:6674,446e0c3d33078020ca226858a67a8bf95d3bbb8d8cf54f283cb4c4dbb4259666,gsm8k,,446e0c3d33078020ca226858a67a8bf95d3bbb8d8cf54f283cb4c4dbb4259666,7e98c6e481779a2e90f9299dbad0b9893d506bd321a13bd346ad2c585b8dec3d,156,149,150,306,156,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
18,5,5,2,gsm8k:openai/gsm8k:train:4834,b2991842d4ecb748aecca75a6cad6922df8786b1fbc6d2851670f5d717ebd83b,gsm8k,,b2991842d4ecb748aecca75a6cad6922df8786b1fbc6d2851670f5d717ebd83b,6d340d199426d452b7729f2106d42e8d747c994006c76fb4063f2df96ba3fcf1,157,120,121,278,157,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
19,5,5,2,gsm8k:openai/gsm8k:train:2400,5b42ae1c63fa33429499a798f953bbd9e838bd720309f81b6fe298458c59b33c,gsm8k,,5b42ae1c63fa33429499a798f953bbd9e838bd720309f81b6fe298458c59b33c,d0ca85c6a0971c310b0b6f8b1aa36ba652623fa33fe27393552577bc3662a648,131,76,77,208,131,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
20,5,5,2,gsm8k:openai/gsm8k:train:3379,b25c768a305ae3b8fee6003df7a556c9477dba59bde586fbccc86bd547b585ed,gsm8k,,b25c768a305ae3b8fee6003df7a556c9477dba59bde586fbccc86bd547b585ed,541965b5e3fea044a200d9ad2e9f2ffa1a5fcce3a89accc8199051ac1cc4abb8,140,60,61,201,140,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
21,6,6,2,gsm8k:openai/gsm8k:train:6212,323b6a08198d1eb1342141350b1002d5eed786144a1b1b27708e77751d4588f3,gsm8k,,323b6a08198d1eb1342141350b1002d5eed786144a1b1b27708e77751d4588f3,eac6422fd01e6f113c0425f66a94bab1fb4f12ed6062db9e98b0766adcad2c46,155,121,122,277,155,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
22,6,6,2,gsm8k:openai/gsm8k:train:4772,4e7941dd749ee480d82c79d98865a9abb6a90f3d37427ea9ff1325bad61ed3a5,gsm8k,,4e7941dd749ee480d82c79d98865a9abb6a90f3d37427ea9ff1325bad61ed3a5,4390393a73c37171615d8778c105f473162ab775ddcdb859b7d91ab310d87382,167,177,178,345,167,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
23,6,6,2,gsm8k:openai/gsm8k:train:4509,1e41922467239eddb686bc6a83fe10eb13780a94f7067f5625e6b381c05adcee,gsm8k,,1e41922467239eddb686bc6a83fe10eb13780a94f7067f5625e6b381c05adcee,4448673dcf56a79859398a13761991d70e85c1019964e5b6fe925d09e59d3b76,156,251,252,408,156,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
24,6,6,2,gsm8k:openai/gsm8k:train:7004,b9f17e07505389ca0c50c78a514ef37aa48d21284f3c596fce8287acf43527ce,gsm8k,,b9f17e07505389ca0c50c78a514ef37aa48d21284f3c596fce8287acf43527ce,026be7821e6873e20b8377704685206ce9b7f6c17fa40741f9919304774ac1c1,143,188,189,332,143,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
25,7,7,2,gsm8k:openai/gsm8k:train:5440,ec42847a2f19e3381e660980eeb68a7b0b6e99a365529dd83c6827b88643c2d0,gsm8k,,ec42847a2f19e3381e660980eeb68a7b0b6e99a365529dd83c6827b88643c2d0,83733f1123a5290662da6b8b505ab9d9462426f24cbd58823b8f5ac0f36306ab,140,130,131,271,140,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
26,7,7,2,gsm8k:openai/gsm8k:train:1001,393de9cd0e20267f72d7ebee1bdad79f740c62675ab90338d440bf2d2c509266,gsm8k,,393de9cd0e20267f72d7ebee1bdad79f740c62675ab90338d440bf2d2c509266,8be5624bcf0c4c4ee37af52f58800e955123faad159d0e1180222490e6c0d49b,173,224,225,398,173,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
27,7,7,2,gsm8k:openai/gsm8k:train:2965,efa897cb4f11d73775a66169094ab53c9df931897f1c7e1b3108227a96d58f1e,gsm8k,,efa897cb4f11d73775a66169094ab53c9df931897f1c7e1b3108227a96d58f1e,7ae4fe6b7a27b23931e63d16022da69d9514342c84bee3ac4b30b7834fba7ac6,163,162,163,326,163,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
28,7,7,2,gsm8k:openai/gsm8k:train:2115,c8b3f669dfa273970c59811e1b3a9c7b0177704e22a1e2f8b6c82727319eba8a,gsm8k,,c8b3f669dfa273970c59811e1b3a9c7b0177704e22a1e2f8b6c82727319eba8a,8fb3156c9e6f20791e1b17fee8fcbeed916bbc5d38858bdab2ce435e4fb5226c,167,69,70,237,167,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
29,8,8,2,gsm8k:openai/gsm8k:train:6982,964f7b3164cb38e9e6adf5a6afaf357de80e0f4d3a3c449f9a86b7de1260936a,gsm8k,,964f7b3164cb38e9e6adf5a6afaf357de80e0f4d3a3c449f9a86b7de1260936a,4e9c9b984d377fb15186d90f1a08de16a7c7290be5817cafdb8107e6da0195c0,126,81,82,208,126,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
30,8,8,2,gsm8k:openai/gsm8k:train:6492,6302e51809899cd36bb2f04ef189cc7e5acf751112ebdb439bc756df4e3ac913,gsm8k,,6302e51809899cd36bb2f04ef189cc7e5acf751112ebdb439bc756df4e3ac913,1d563ac283a7530e0b7b96bfa921de901dbe84c394e7061b5765f41e7715294c,128,101,102,230,128,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
31,8,8,2,gsm8k:openai/gsm8k:train:3458,aed34f04f50c7eb86b05d4df780978d71628b51768c46e5d0559061107cf0aa8,gsm8k,,aed34f04f50c7eb86b05d4df780978d71628b51768c46e5d0559061107cf0aa8,47a5ef639b48037d7a14a865f76ad11370661b9c43b7842b4c0fc01ee1840977,132,148,149,281,132,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
32,8,8,2,gsm8k:openai/gsm8k:train:1394,b5f54d9c8072f7371c321443bdfe0ace21892fc29fdaeaccdeaf5cd57b967175,gsm8k,,b5f54d9c8072f7371c321443bdfe0ace21892fc29fdaeaccdeaf5cd57b967175,1283cbb07a01c2182d6f0fd141a6eca3abea53f0805841eb97f4ff9065dbc4b8,133,112,113,246,133,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
33,9,9,3,gsm8k:openai/gsm8k:train:3636,ff28ac06b1048f2207f9074514d9a4bc84023f25d0d78bf2f9726fbdb50f8ae0,gsm8k,,ff28ac06b1048f2207f9074514d9a4bc84023f25d0d78bf2f9726fbdb50f8ae0,9bb479e603bed0853df587e626064776aa4dfa96921410b1009f09f209cbfdb0,203,169,170,373,203,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
34,9,9,3,gsm8k:openai/gsm8k:train:3830,6f391fbaddf5a5e1fce82e4a5a16fe4f5a4e8590bc34dbac0a8798a1cc4587ad,gsm8k,,6f391fbaddf5a5e1fce82e4a5a16fe4f5a4e8590bc34dbac0a8798a1cc4587ad,146f63c45c3544aeee95c5c3f9970908994851270900a8d902e75e9b36dc5e7d,150,81,82,232,150,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
35,9,9,3,gsm8k:openai/gsm8k:train:845,85cd8b011a14405071ea62b097d6bbcf26af773115bf84fb82bad5f711ad1f23,gsm8k,,85cd8b011a14405071ea62b097d6bbcf26af773115bf84fb82bad5f711ad1f23,db10c5cb5c57b27102143469ecd9d183a2aba4df163f2b401a88bab144af633e,150,82,83,233,150,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
36,9,9,3,gsm8k:openai/gsm8k:train:286,2dc9983a46efdc6f464d0f1b0d0515b4470720591229f1b724a9bdac3b63897a,gsm8k,,2dc9983a46efdc6f464d0f1b0d0515b4470720591229f1b724a9bdac3b63897a,a8456bc3e09c72606e898d445fb117b45f44e594c51831440364e639fe03ce9a,165,67,68,233,165,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
37,10,10,3,gsm8k:openai/gsm8k:train:6831,22c873bab2c31d09ec8af302e09d6d546c4b9e8a6c122f11df046d4c533a2138,gsm8k,,22c873bab2c31d09ec8af302e09d6d546c4b9e8a6c122f11df046d4c533a2138,36034d219fbe37530ecffa320a14e69d82b57b43a5f319020bc35f927cd63080,192,204,205,397,192,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
38,10,10,3,gsm8k:openai/gsm8k:train:6169,67a560e2d52bef0d1265a34f1ce7a2d94fe4af15fc39638862a97ecc49f51bcd,gsm8k,,67a560e2d52bef0d1265a34f1ce7a2d94fe4af15fc39638862a97ecc49f51bcd,4b31a93332cd27d52fd6b561407d3a91e5d16ed2b75eba7598f0beb364c7f2e3,172,170,171,343,172,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
39,10,10,3,gsm8k:openai/gsm8k:train:2849,2c8265807943471ac269c3ae6aa850dff102c5b748215f73c9b76f68b21c4ca4,gsm8k,,2c8265807943471ac269c3ae6aa850dff102c5b748215f73c9b76f68b21c4ca4,e5248a82d0e3785472c9ebfdca19dcbad54cc983f483aac069d2b6f649669ca1,166,115,116,282,166,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
40,10,10,3,gsm8k:openai/gsm8k:train:4227,3e7cc794c4c5388ababd804336cfb1f37a2aab9c1e32250771e2ea535b0e1709,gsm8k,,3e7cc794c4c5388ababd804336cfb1f37a2aab9c1e32250771e2ea535b0e1709,407521270763a572595e4cb3b108895a54bb0bc4dfa84e87c54a2f9ac5959d5a,171,136,137,308,171,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
41,11,11,3,gsm8k:openai/gsm8k:train:1701,88a91c47106f3baf69ad6f350706e478564ca5a2a261e68cc2559eb0f5776c18,gsm8k,,88a91c47106f3baf69ad6f350706e478564ca5a2a261e68cc2559eb0f5776c18,fc35e342f63be78061d3e9348409c4368371d10f0ea08437f95e1cf87bb734b6,164,151,152,316,164,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
42,11,11,3,gsm8k:openai/gsm8k:train:236,e9d307147ec3cccd731990fdc6992505decffad3fc680d300c2706fef033e5b5,gsm8k,,e9d307147ec3cccd731990fdc6992505decffad3fc680d300c2706fef033e5b5,5b43848f53934895d00a5bd3b293536022f6fc72472cf9d0141adea9d65cad0a,152,140,141,293,152,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
43,11,11,3,gsm8k:openai/gsm8k:train:1592,ae612c68842e8c6eef8ba90a48941890daf7c4dd846919934cd7e9f8d23b26e6,gsm8k,,ae612c68842e8c6eef8ba90a48941890daf7c4dd846919934cd7e9f8d23b26e6,30d169330bee81e9d2a77053aa8b4a4d7fad31b9df34fb5e80bbe37aa48be9cc,133,108,109,242,133,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
44,11,11,3,gsm8k:openai/gsm8k:train:5504,1b7eb1f56375e8e98bea6c5909f22bc3e106bcf27e22e23abbf76e7bbdc61453,gsm8k,,1b7eb1f56375e8e98bea6c5909f22bc3e106bcf27e22e23abbf76e7bbdc61453,fd13029f25d80df3554782fe304393392b5eeedd3bd46264f92360592b826478,153,114,115,268,153,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
45,12,12,3,gsm8k:openai/gsm8k:train:1598,12cef05f1be25c738599caa1bb92f60601bb1682517acb5ac1b738753a5d6f9c,gsm8k,,12cef05f1be25c738599caa1bb92f60601bb1682517acb5ac1b738753a5d6f9c,a4182ea739101de417a66572f412d5161fce26f2fc52d44bec5619b40238ffe1,170,136,137,307,170,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
46,12,12,3,gsm8k:openai/gsm8k:train:3497,2453cdf22ac56cd8c9ce7d8efac35838b2290b2a06ffa7094d118f46502c6514,gsm8k,,2453cdf22ac56cd8c9ce7d8efac35838b2290b2a06ffa7094d118f46502c6514,6b287d134efecca8008bc1677c187e680f87148fc31c169fb88da95bb9fdaeac,143,91,92,235,143,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
47,12,12,3,gsm8k:openai/gsm8k:train:6952,f660512d835c69bf3a3f676e13988bf9e2816a3d84692c8f3088f23f469921d9,gsm8k,,f660512d835c69bf3a3f676e13988bf9e2816a3d84692c8f3088f23f469921d9,7c5bb3c2886403855976cc568035741b02e6eb7b907cf47ede939cd4c6e0945d,242,245,246,488,242,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
48,12,12,3,gsm8k:openai/gsm8k:train:4823,ee5c2e5f92251e7d2a83b00e1132af0707de44ef78e5c860c2516d43c129d1bc,gsm8k,,ee5c2e5f92251e7d2a83b00e1132af0707de44ef78e5c860c2516d43c129d1bc,6ae3af51e6545475115a287ede94e1dd8e80f74764043a01ac79b7d96f022c3d,172,117,118,290,172,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
49,13,13,4,gsm8k:openai/gsm8k:train:5899,7bff3aa4b419a046a409ac9a54dc4274470e71d115ac3ae09233090a10357452,gsm8k,,7bff3aa4b419a046a409ac9a54dc4274470e71d115ac3ae09233090a10357452,750e7c6b9fbe94f40e507c53e9bd19554f542869ddd480a7c1e4c6e52912b465,145,110,111,256,145,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
50,13,13,4,gsm8k:openai/gsm8k:train:6507,7590e53e68beaa71eb06bb1f714db407172bf4e67fa68bea2e0e6c5bb1c15ced,gsm8k,,7590e53e68beaa71eb06bb1f714db407172bf4e67fa68bea2e0e6c5bb1c15ced,c847f16cee615d689d6d0c0467a7eeb72b4b9df95ef6e233f885a34da1456cbc,146,78,79,225,146,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
51,13,13,4,gsm8k:openai/gsm8k:train:5446,bdd901058efacc55dd8b142bf22616b5db25d6d5660d17086e9ba687e74413fb,gsm8k,,bdd901058efacc55dd8b142bf22616b5db25d6d5660d17086e9ba687e74413fb,3d6d3392784fe18cc36570ad18490e24b0a5d2b4c2ff2f08d293863c2a09363e,164,163,164,328,164,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
52,13,13,4,gsm8k:openai/gsm8k:train:5491,93a82f4cb181b8c60bc90d989f07995b3f842a1ade0aac9cf8996441c447cd34,gsm8k,,93a82f4cb181b8c60bc90d989f07995b3f842a1ade0aac9cf8996441c447cd34,19cacfab31203b50c60e334c9026361a30839d19f91138abc587b3b50ca054d8,151,55,56,207,151,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
53,14,14,4,gsm8k:openai/gsm8k:train:7056,528a0b00bb9dcc31816b21bd7c8e3988f0184477e2f8ca7b7b0e3cf0c64f2809,gsm8k,,528a0b00bb9dcc31816b21bd7c8e3988f0184477e2f8ca7b7b0e3cf0c64f2809,26a610e4eab03d36fca03f6744e982a0d384f6d8a66317da317bbe3b86c32bef,177,185,186,363,177,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
54,14,14,4,gsm8k:openai/gsm8k:train:6912,10723956082fa913e8ffef6cd7b4690e52216094dad2b22bbb2024dc3fedfdbd,gsm8k,,10723956082fa913e8ffef6cd7b4690e52216094dad2b22bbb2024dc3fedfdbd,2dcd987906f4577e660f757a5c7dd5af57bc1f80dea7e51d68fd55fbfd4da212,159,179,180,339,159,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
55,14,14,4,gsm8k:openai/gsm8k:train:3715,cd01ef3096493fef344180280ac98f298cd2c33fc4a3bc26beb64e5d87a51871,gsm8k,,cd01ef3096493fef344180280ac98f298cd2c33fc4a3bc26beb64e5d87a51871,2bbd7761bf226892ee8eb1692273a9716edc0d77d188e90066dce5c39c3da6f4,177,305,306,483,177,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
56,14,14,4,gsm8k:openai/gsm8k:train:6504,a355f43f20d78a71969fbe17f32c711f65a69ce6730f373fbd03f26f91720eec,gsm8k,,a355f43f20d78a71969fbe17f32c711f65a69ce6730f373fbd03f26f91720eec,63c8dd4773e53dbbc1b5ee65027979389b76616fe90d3d30ff94e26b8134ceae,155,183,184,339,155,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
57,15,15,4,gsm8k:openai/gsm8k:train:4082,6696726846e834e32d5a2abe3f6553ac4d824487b6a1ba732b852130691c8994,gsm8k,,6696726846e834e32d5a2abe3f6553ac4d824487b6a1ba732b852130691c8994,7ec9b2c90062350371fbe870b8087fe8fe370fe3798e4e52968dda2711e3e42e,151,61,62,213,151,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
58,15,15,4,gsm8k:openai/gsm8k:train:5847,0fef36d7b4b52ae21403ff86e01c7448aa568872a51581b5979df1faec08a6e8,gsm8k,,0fef36d7b4b52ae21403ff86e01c7448aa568872a51581b5979df1faec08a6e8,906399c18bc87a8d24f95a4e5b48a6653176c1d86a3bdda32d46a7e986f9b1eb,139,121,122,261,139,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
59,15,15,4,gsm8k:openai/gsm8k:train:1748,795592383837a89a268431b517ef782cd488cf7aceb0872d689610bed575a92f,gsm8k,,795592383837a89a268431b517ef782cd488cf7aceb0872d689610bed575a92f,f2377ef6e9dc8871c282d13720c829eeb292d3311c19480193f9c7cfd8bdb6cf,131,69,70,201,131,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
60,15,15,4,gsm8k:openai/gsm8k:train:2495,16d08d5ab23f629b45049596e55390a11682adce9a291897e5815adfd6dc6e4e,gsm8k,,16d08d5ab23f629b45049596e55390a11682adce9a291897e5815adfd6dc6e4e,3a30e36f13c6cce0192c458ecc6c0cdaab80ff8a8141065f680181150f453f00,151,107,108,259,151,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
61,16,16,4,gsm8k:openai/gsm8k:train:2476,a1f823ec5e3054f10db19133409eaaee1110d48ce0b86f426924251d4a2d8f1b,gsm8k,,a1f823ec5e3054f10db19133409eaaee1110d48ce0b86f426924251d4a2d8f1b,d01f07fccc4c61727007e198ec216c859c83d14ba967b907cc5ff2640bab663f,132,77,78,210,132,True,False,23ca192e8ef99df9ba0c56885a1e9bdd6c46bf292dbc66e73f96b37859927f9d
