position,update,slot,problem_id,content_hash,domain,level,difficulty_proxy,difficulty_proxy_value
33,9,0,gsm8k:openai/gsm8k:train:4560,28d736c11e3eddd39a77a58f861003acb68f10da0723ed34a978c0bbff3d651c,gsm8k,na,official_solution_whitespace_tokens,17
34,9,1,gsm8k:openai/gsm8k:train:2763,4258f719520fed7d392ba10b49e60bdddbfc6f11da863f89bb127246ef9b257b,gsm8k,na,official_solution_whitespace_tokens,18
35,9,2,math:DigitalLearningGmbH/MATH-lighteval:train:164,5319b31ca9d3e4a8014421cb43ebb76c0b187378e6ccd54164aed3c08b6a6046,math,1,math_level_1,1
36,9,3,math:DigitalLearningGmbH/MATH-lighteval:train:477,55c95c38c4c54b3e989f897a0905f427bf8139d456cec281c51fc0ff5f8554e4,math,1,math_level_1,1
37,10,0,gsm8k:openai/gsm8k:train:2662,434a5832e2a3599c3f1690013d972a09c6f9a498a64cb49ba8c0434d6feb25f9,gsm8k,na,official_solution_whitespace_tokens,18
38,10,1,gsm8k:openai/gsm8k:train:4768,52b44d29bd67a790d3432a880bfcd1c6fce034690c2f905dd1f54fab1b94e745,gsm8k,na,official_solution_whitespace_tokens,18
39,10,2,math:DigitalLearningGmbH/MATH-lighteval:train:3258,55ff977007a2d441a7920c8452df00f35b16c0094c85c28e549d8d0d8274eced,math,1,math_level_1,1
40,10,3,math:DigitalLearningGmbH/MATH-lighteval:train:3487,587e1c059dc29f450599d243afd845ec7d1e8b88e0503b9bf997a59de446ed53,math,1,math_level_1,1
41,11,0,gsm8k:openai/gsm8k:train:0,73429d562982300e6643d83a84428a22e0656773b67dad037d2de2f8bc0b45b9,gsm8k,na,official_solution_whitespace_tokens,19
42,11,1,gsm8k:openai/gsm8k:train:6507,7590e53e68beaa71eb06bb1f714db407172bf4e67fa68bea2e0e6c5bb1c15ced,gsm8k,na,official_solution_whitespace_tokens,19
43,11,2,math:DigitalLearningGmbH/MATH-lighteval:train:941,5a8cd1cc7693cee79942ca42292db04a296f71b2cce582d1feb1a14e81b60a61,math,1,math_level_1,1
44,11,3,math:DigitalLearningGmbH/MATH-lighteval:train:4147,60d78405a533f7fd761ba0d6c2f314a3dcd443ae3fb77f73170762c23f20220b,math,1,math_level_1,1
45,12,0,gsm8k:openai/gsm8k:train:4481,5f894d89a20ad909c586902093793272ae2d22f0320df0bd5aee418ec2b72234,gsm8k,na,official_solution_whitespace_tokens,20
46,12,1,gsm8k:openai/gsm8k:train:6982,964f7b3164cb38e9e6adf5a6afaf357de80e0f4d3a3c449f9a86b7de1260936a,gsm8k,na,official_solution_whitespace_tokens,20
47,12,2,math:DigitalLearningGmbH/MATH-lighteval:train:37,6fad9f0c632a0de2b3228597cba457dad62bc3b0a79e6f0bc8d729bab4dbc872,math,1,math_level_1,1
48,12,3,math:DigitalLearningGmbH/MATH-lighteval:train:2424,7364beb09501dfa7dfbb679db27a4841bd02fe207570ad05f55bb27d52c02c45,math,1,math_level_1,1
49,13,0,gsm8k:openai/gsm8k:train:1825,b8ec49105ccd6f68af9ec5bbc8e466952b091ad5698832b9fcd33e6752f3a83e,gsm8k,na,official_solution_whitespace_tokens,20
50,13,1,gsm8k:openai/gsm8k:train:1262,f6ee7cd98ba29340c4246fd411ff9e468d5b5e582e60201438ff0fd2e9f7ce69,gsm8k,na,official_solution_whitespace_tokens,20
51,13,2,math:DigitalLearningGmbH/MATH-lighteval:train:2118,74a9325cfcebaa8bb835363d3f4af29bf792145af34e7af985572ff3f503b962,math,1,math_level_1,1
52,13,3,math:DigitalLearningGmbH/MATH-lighteval:train:657,752621bf03c06d97fbb0de0237610a17e6da6d899cc3b0623f04e3e5932f2364,math,1,math_level_1,1
53,14,0,gsm8k:openai/gsm8k:train:4244,2723932d11368487f418999b165bfcfb90b779dc86304d440f60ce58c385e167,gsm8k,na,official_solution_whitespace_tokens,21
54,14,1,gsm8k:openai/gsm8k:train:2476,a1f823ec5e3054f10db19133409eaaee1110d48ce0b86f426924251d4a2d8f1b,gsm8k,na,official_solution_whitespace_tokens,21
55,14,2,math:DigitalLearningGmbH/MATH-lighteval:train:5813,763426eeac0e6baad64d6311e5461f696f1dd29d921929b00f946ed4315e6738,math,1,math_level_1,1
56,14,3,math:DigitalLearningGmbH/MATH-lighteval:train:7016,76a3c644a725efcc1d53e425972a987eb86febecf000c733915b273c9c2952b8,math,1,math_level_1,1
57,15,0,gsm8k:openai/gsm8k:train:4974,ae8a0a2c0f014348b6e7380b36b4525f7291b39b9142b07e86b62933fcaccaa7,gsm8k,na,official_solution_whitespace_tokens,21
58,15,1,gsm8k:openai/gsm8k:train:4834,b2991842d4ecb748aecca75a6cad6922df8786b1fbc6d2851670f5d717ebd83b,gsm8k,na,official_solution_whitespace_tokens,21
59,15,2,math:DigitalLearningGmbH/MATH-lighteval:train:7484,76e83742d805574bee4bbbd9c8e5f76724ff77d8a4070a81cc18c589193edb93,math,1,math_level_1,1
60,15,3,math:DigitalLearningGmbH/MATH-lighteval:train:3657,77ab1fcdd5eb502a7963f7e83d42cc19f621daee316ae82ddc0aa7f5d605e500,math,1,math_level_1,1
61,16,0,gsm8k:openai/gsm8k:train:6624,1a80c2dcd6f8422818445721cc95ab2a0f89fa3ef9084b9cb7b844a79723ea7a,gsm8k,na,official_solution_whitespace_tokens,22
62,16,1,gsm8k:openai/gsm8k:train:4706,8c6734cdce017b315624241238abb830ed9e1279e3098d8e5a7dec7b7c07d0d2,gsm8k,na,official_solution_whitespace_tokens,22
63,16,2,math:DigitalLearningGmbH/MATH-lighteval:train:772,794a35265f64cb3d30f7b2cbe93f5a989853877690a16a42b30b8212281eb161,math,1,math_level_1,1
64,16,3,math:DigitalLearningGmbH/MATH-lighteval:train:2312,88adf2bc6311bda3307dff7180fcdd9e1e59526b1bdd6f067ee9616391bba520,math,1,math_level_1,1
65,17,0,gsm8k:openai/gsm8k:train:236,e9d307147ec3cccd731990fdc6992505decffad3fc680d300c2706fef033e5b5,gsm8k,na,official_solution_whitespace_tokens,22
66,17,1,gsm8k:openai/gsm8k:train:6838,f1df83e28913299db44eeabda54177a1f66213f8c6c739231d93a1e85877b77e,gsm8k,na,official_solution_whitespace_tokens,22
67,17,2,math:DigitalLearningGmbH/MATH-lighteval:train:1197,8c472f521fd3e9fca8fbb83bde9d701d437fba205cfd2be9610285fb08e9719f,math,1,math_level_1,1
68,17,3,math:DigitalLearningGmbH/MATH-lighteval:train:1212,8cf27af0bd44d008b240c637885c5bcb13687857e8335e99838a688ef1ecf37c,math,1,math_level_1,1
69,18,0,gsm8k:openai/gsm8k:train:4533,2fd616587d042802a6362b36a5ca0167eaabf128b46cdfb6acaaa3834216be2b,gsm8k,na,official_solution_whitespace_tokens,23
70,18,1,gsm8k:openai/gsm8k:train:1862,6d19b90aa3615625574152d6a1ad5e4e0265dc3d2be57610dd128962e57871bc,gsm8k,na,official_solution_whitespace_tokens,23
71,18,2,math:DigitalLearningGmbH/MATH-lighteval:train:6953,8f9403d222c4bc309a5895bc9c217a545ea4aa6380c53860c289a505348aaed8,math,1,math_level_1,1
72,18,3,math:DigitalLearningGmbH/MATH-lighteval:train:5847,9dc728b960fc4a1e851069705d83b4d2447d90036ffb8c725b8fd3d1e8699265,math,1,math_level_1,1
73,19,0,gsm8k:openai/gsm8k:train:4219,79b0722df15e04f4f8eb2617dd50e8aa2504b0e79537c4520a139c34afd4d3da,gsm8k,na,official_solution_whitespace_tokens,24
74,19,1,gsm8k:openai/gsm8k:train:2007,c80c2951e46551d5b1466991f48e09adf4e34f9402d0a53c1d08804eb301fe93,gsm8k,na,official_solution_whitespace_tokens,24
75,19,2,math:DigitalLearningGmbH/MATH-lighteval:train:5783,9f1a7d3632a29b8daee5d4f36ed5ccd92ed8ebe7f8fbbb91295d234496a2b8b5,math,1,math_level_1,1
76,19,3,math:DigitalLearningGmbH/MATH-lighteval:train:2199,a0c6a0d85bbfd56d3b30d991819da0fabc4142ae1a06956ae978ccfcc608aff8,math,1,math_level_1,1
77,20,0,gsm8k:openai/gsm8k:train:3064,b41b4dad444bd939f5e7f7b4e9947060618cbe1fd8e4cdfc7db3fedd2e541081,gsm8k,na,official_solution_whitespace_tokens,25
78,20,1,gsm8k:openai/gsm8k:train:38,ea66ef8b11aa8d8a4498b7813627b9ea37d729b849d536d602ea51a402938c38,gsm8k,na,official_solution_whitespace_tokens,25
79,20,2,math:DigitalLearningGmbH/MATH-lighteval:train:1081,a541578e8265faaf32c0cee40388c8a9a0c3e1f387e92d2996bbea6352a6d17c,math,1,math_level_1,1
80,20,3,math:DigitalLearningGmbH/MATH-lighteval:train:6611,ae440e83f6ab05cedc8be942f6b6161b2527f9fc8eb3ea270dbbfd33d50b2784,math,1,math_level_1,1
81,21,0,gsm8k:openai/gsm8k:train:2789,089b7dca621360d367b0450d61fc38518eeab7df5ae7568c2c6198d640ace979,gsm8k,na,official_solution_whitespace_tokens,26
82,21,1,gsm8k:openai/gsm8k:train:5591,3ce61603e0ab5d00b440485a4e6ee58c0c9d4838e335f10f056f3257bbddb10a,gsm8k,na,official_solution_whitespace_tokens,26
83,21,2,math:DigitalLearningGmbH/MATH-lighteval:train:4567,ae6d428a0d006fda0a4b7acb8436234212af2fbd7d7149dcb55b89537a12bdf8,math,1,math_level_1,1
84,21,3,math:DigitalLearningGmbH/MATH-lighteval:train:150,af7ad481c3e81af71529c3c98b49253b0f429fbac612992556f0e2d34bb61cda,math,1,math_level_1,1
85,22,0,gsm8k:openai/gsm8k:train:2362,86a55d9e3dbae85d38f97a5bf7fa0f74426fae44e065b24fbf2b11803b639070,gsm8k,na,official_solution_whitespace_tokens,26
86,22,1,gsm8k:openai/gsm8k:train:4110,bed2f998d367d5c1c5211689d3f0fef5d7a47b61557e4e5047fb21cec0cc8aa4,gsm8k,na,official_solution_whitespace_tokens,26
87,22,2,math:DigitalLearningGmbH/MATH-lighteval:train:1615,b45b7652b532c6f4197aefa442364a66f4139ea8f66cbea55575a00ba4580ae7,math,1,math_level_1,1
88,22,3,math:DigitalLearningGmbH/MATH-lighteval:train:744,befb04d2223de6690c3cfb389e2596161f67aa9f0ee6fde8fa8898a9fc00f8c8,math,1,math_level_1,1
89,23,0,gsm8k:openai/gsm8k:train:286,2dc9983a46efdc6f464d0f1b0d0515b4470720591229f1b724a9bdac3b63897a,gsm8k,na,official_solution_whitespace_tokens,27
90,23,1,gsm8k:openai/gsm8k:train:245,2f4521a354d7d5cb47fa38131374357c523edc600b23f6a59aa41f81afda2a10,gsm8k,na,official_solution_whitespace_tokens,27
91,23,2,math:DigitalLearningGmbH/MATH-lighteval:train:5850,c2bbf7a03978d728ce749935949af1be120b9a12d18154272cb1feb6cda13cdf,math,1,math_level_1,1
92,23,3,math:DigitalLearningGmbH/MATH-lighteval:train:426,c3ba09c7580aa92a71ae47b57611146439ab6665217e5d6f4b46ac420e3b81a3,math,1,math_level_1,1
93,24,0,gsm8k:openai/gsm8k:train:2400,5b42ae1c63fa33429499a798f953bbd9e838bd720309f81b6fe298458c59b33c,gsm8k,na,official_solution_whitespace_tokens,27
94,24,1,gsm8k:openai/gsm8k:train:367,5fd1b74438ed6b645be2cd80e709a93d667abd926de6ec491dad22d83be0e2bb,gsm8k,na,official_solution_whitespace_tokens,27
95,24,2,math:DigitalLearningGmbH/MATH-lighteval:train:1634,d1907c0f4ee5b5251971cf5cf280581722132d4f71d7e678b6064cfafa5b6f93,math,1,math_level_1,1
96,24,3,math:DigitalLearningGmbH/MATH-lighteval:train:4900,d1e4d05eb3c00edb512466fe4f68d7070b24b48f5c9d72cda5e8ddf8538b4fe5,math,1,math_level_1,1
97,25,0,gsm8k:openai/gsm8k:train:1748,795592383837a89a268431b517ef782cd488cf7aceb0872d689610bed575a92f,gsm8k,na,official_solution_whitespace_tokens,27
98,25,1,gsm8k:openai/gsm8k:train:3321,b11ce8d3b86700ea815b27257009d94a587fc3634c8962fc1bb89ab782395e79,gsm8k,na,official_solution_whitespace_tokens,27
99,25,2,math:DigitalLearningGmbH/MATH-lighteval:train:6542,d708904eb40efea3f00312e0bbaad148542a17d08ad9847399f22c4c4863ad28,math,1,math_level_1,1
100,25,3,math:DigitalLearningGmbH/MATH-lighteval:train:3578,d7663cb02fe367d19808774ce3a3ade3d1c47bd05523f6938f92828ac7b36e85,math,1,math_level_1,1
101,26,0,gsm8k:openai/gsm8k:train:4926,b4bf52b06768cc424d7c5631a3567ab8824c96e2b74b8970275aa29c300ac4fe,gsm8k,na,official_solution_whitespace_tokens,27
102,26,1,gsm8k:openai/gsm8k:train:5341,31b181f8719bdfd7813fc2d40486f38e64e7ba8a0dfefffb83b80deee4caeb90,gsm8k,na,official_solution_whitespace_tokens,28
103,26,2,math:DigitalLearningGmbH/MATH-lighteval:train:2441,dba4df89f10b7d529a32687e6aa2e2badf79f0efef924a036d9644b06d611a6c,math,1,math_level_1,1
104,26,3,math:DigitalLearningGmbH/MATH-lighteval:train:6139,df8914a85f181e87714700e5f00ebf00311a02e74aa45949146c0b6300ff5f12,math,1,math_level_1,1
105,27,0,gsm8k:openai/gsm8k:train:1423,416569a77deb8f44e7440511d86b8d5205d8dd976b9669f6ea977617c1b156d7,gsm8k,na,official_solution_whitespace_tokens,28
106,27,1,gsm8k:openai/gsm8k:train:4951,452dbc240f1ff9e5abbde30ed43fe79e3d55b7fca4b3814f1dd1b3b82af9a035,gsm8k,na,official_solution_whitespace_tokens,28
107,27,2,math:DigitalLearningGmbH/MATH-lighteval:train:652,e42fd111513ef73bd8fee81a015ab551b16f3a6c9a894f18ab6c0357c6a6b025,math,1,math_level_1,1
108,27,3,math:DigitalLearningGmbH/MATH-lighteval:train:5536,e9f0a6042f20e624d48f7139ea1736f721714493f91c8bb2620d458930122223,math,1,math_level_1,1
109,28,0,gsm8k:openai/gsm8k:train:2038,59ec1a60484dc832dfa70d66a49fbf4c6f3b436b5f24537bc7b9165b31261509,gsm8k,na,official_solution_whitespace_tokens,28
110,28,1,gsm8k:openai/gsm8k:train:5637,781141e0a75f8e7cc83daca484f3f743408e01b934d631ff1cfd24a03a401155,gsm8k,na,official_solution_whitespace_tokens,28
111,28,2,math:DigitalLearningGmbH/MATH-lighteval:train:1546,ee94efde3596d91c5edf26b1aa405a72fcfe92c3d64c0979bc5804f294d7657c,math,1,math_level_1,1
112,28,3,math:DigitalLearningGmbH/MATH-lighteval:train:5389,ef7fc662df970d4b4f335642cf448f490bccd0939b2ea8125253e71dd52bafda,math,1,math_level_1,1
113,29,0,gsm8k:openai/gsm8k:train:3199,9945d0d26a4f7c5f53404ab415f38cda11744605e7882f0b2981d77bbf407354,gsm8k,na,official_solution_whitespace_tokens,28
114,29,1,gsm8k:openai/gsm8k:train:1349,c5d439a4a8863504fa7e0518d6b807d129cc5c41e07920da9d799ba946d989cc,gsm8k,na,official_solution_whitespace_tokens,28
115,29,2,math:DigitalLearningGmbH/MATH-lighteval:train:6494,efa3a1b9e8ae8f54ee05d65aee0fee90f9ef84b94f8966afd206984719d05666,math,1,math_level_1,1
116,29,3,math:DigitalLearningGmbH/MATH-lighteval:train:6935,f3a5675bf6abd936920494a581d2a4a375ca0f8180c7a1fd114e8766e8cc5b59,math,1,math_level_1,1
117,30,0,gsm8k:openai/gsm8k:train:174,e1d48784b445c39eefc9a104d80dbde0a3e8271287d0d9028b641b0ab2b8b880,gsm8k,na,official_solution_whitespace_tokens,28
118,30,1,gsm8k:openai/gsm8k:train:1815,f863d446d7efdf0d27d80a1644484fe8577812db69f468c74a876483935933e3,gsm8k,na,official_solution_whitespace_tokens,28
119,30,2,math:DigitalLearningGmbH/MATH-lighteval:train:694,f49114edc90533c75fd23a61b4853090576a9274abded1869e1b11b26a02d40d,math,1,math_level_1,1
120,30,3,math:DigitalLearningGmbH/MATH-lighteval:train:6537,f4f0bc1405d19c8d51d32030de8f73b2dfbef70d96f1b44755222465e31453f1,math,1,math_level_1,1
121,31,0,gsm8k:openai/gsm8k:train:5847,0fef36d7b4b52ae21403ff86e01c7448aa568872a51581b5979df1faec08a6e8,gsm8k,na,official_solution_whitespace_tokens,29
122,31,1,gsm8k:openai/gsm8k:train:3803,421a57b2daa8d042ab0e6321274ebdcb930362ef134b4aa80fe733d9b0832511,gsm8k,na,official_solution_whitespace_tokens,29
123,31,2,math:DigitalLearningGmbH/MATH-lighteval:train:5991,f7a4d00e866f6ff3551c6a500deed4621b383a9a3a6453db4e823f3b3ed1da62,math,1,math_level_1,1
124,31,3,math:DigitalLearningGmbH/MATH-lighteval:train:3232,fa5021a5ac570a70321b211e0099e69bbe4e8288000fb2101ebf004cdf86762d,math,1,math_level_1,1
125,32,0,gsm8k:openai/gsm8k:train:5394,510a1b892ed516a94ce9e576d5d6a384d264e1579c06f0ee528d8961402f7dfe,gsm8k,na,official_solution_whitespace_tokens,29
126,32,1,gsm8k:openai/gsm8k:train:3501,b8123b9b802d6c9dfeb24c86a049782ae42125fe888f68c689e58e6a8cad56d6,gsm8k,na,official_solution_whitespace_tokens,29
127,32,2,math:DigitalLearningGmbH/MATH-lighteval:train:6169,fac1d9148cbebe8e3dcf4b00cdc53b8e2e6e821d12486e49fa68f7190482ce5e,math,1,math_level_1,1
128,32,3,math:DigitalLearningGmbH/MATH-lighteval:train:6020,fd3eb750aa520582bbfa022e022d049872c32b5b8576ebe7e39bd9c7eaec34c3,math,1,math_level_1,1
129,33,0,gsm8k:openai/gsm8k:train:2115,c8b3f669dfa273970c59811e1b3a9c7b0177704e22a1e2f8b6c82727319eba8a,gsm8k,na,official_solution_whitespace_tokens,29
130,33,1,gsm8k:openai/gsm8k:train:3981,ce11571fbb6a24c03ee369e427ac89e3f849840f002b73890217b71cc32feccf,gsm8k,na,official_solution_whitespace_tokens,29
131,33,2,gsm8k:openai/gsm8k:train:6040,e3353cc524bc46ecb51128e0fbbf4a3dd1faa6a43e2fc20274eb515e5a9f8638,gsm8k,na,official_solution_whitespace_tokens,29
132,33,3,math:DigitalLearningGmbH/MATH-lighteval:train:6144,01c9bf3ecf26fd0ddc885278f432196f74bcf9a93a9dc9fee4767b5f26e36555,math,2,math_level_2,2
133,34,0,gsm8k:openai/gsm8k:train:1080,21b082f5c998bcad46c11b28edef350f3ca5feb003e37531d705dc12d42c3229,gsm8k,na,official_solution_whitespace_tokens,30
134,34,1,gsm8k:openai/gsm8k:train:4215,3186b7ed74873471fe2d0aad60b570b768800e076c76bf2a60f687d2fcb53eb6,gsm8k,na,official_solution_whitespace_tokens,30
135,34,2,gsm8k:openai/gsm8k:train:1052,36c5cdd288eb79a23d319fd5fd378d27e6120be7fad09441bbd449a79177e30c,gsm8k,na,official_solution_whitespace_tokens,30
136,34,3,math:DigitalLearningGmbH/MATH-lighteval:train:1157,0586baa29d8c51d3a222e6b4d888e866be5deedd0b5cb602fa97b42a85e4a03c,math,2,math_level_2,2
137,35,0,gsm8k:openai/gsm8k:train:7287,97942528a7bf7e423e0ff8d36ea65bf35bad8f926604542b42429a573ac0b94a,gsm8k,na,official_solution_whitespace_tokens,30
138,35,1,gsm8k:openai/gsm8k:train:2707,06655f7dd17bb036ae5a894258873b12a9f084caeae752dd0de85772a0a6a323,gsm8k,na,official_solution_whitespace_tokens,31
139,35,2,gsm8k:openai/gsm8k:train:967,1f9a52cc0307ac0ca4094fd15ac97d7fb326ca0608501974eb8951956d83a9ab,gsm8k,na,official_solution_whitespace_tokens,31
140,35,3,math:DigitalLearningGmbH/MATH-lighteval:train:5043,078164bd15061c4e989aa2a6ae361cc903d84f468056f7823e5930bf3e11bab0,math,2,math_level_2,2
141,36,0,gsm8k:openai/gsm8k:train:6250,7c7a6421bc0a77b74c3c1a83d527b5e1867caaebe5fcf97329116374946e880b,gsm8k,na,official_solution_whitespace_tokens,31
142,36,1,gsm8k:openai/gsm8k:train:5126,c32f3550eab2a75961b64fbed32393d49ce03c88c6752e83eeb3448772cf862c,gsm8k,na,official_solution_whitespace_tokens,31
143,36,2,gsm8k:openai/gsm8k:train:5871,d8d5992947afeeb0516726623fc844e52c6a03d289a2ca12e28397621b7c03e4,gsm8k,na,official_solution_whitespace_tokens,31
144,36,3,math:DigitalLearningGmbH/MATH-lighteval:train:5610,0806ef88f8e04332b55dffe8cf9dd31cd38e92daa61cae826fbc59a2b784bbf6,math,2,math_level_2,2
145,37,0,gsm8k:openai/gsm8k:train:635,70caa1ab504063be5a618f4abeeeb6ba8f35c2694bf45cf12883fb32f043c220,gsm8k,na,official_solution_whitespace_tokens,32
146,37,1,gsm8k:openai/gsm8k:train:7244,e3b2fc1c7857053b2d5072af05b09ce05100d28ec6adf3c91979748def5a7ed1,gsm8k,na,official_solution_whitespace_tokens,32
147,37,2,gsm8k:openai/gsm8k:train:5504,1b7eb1f56375e8e98bea6c5909f22bc3e106bcf27e22e23abbf76e7bbdc61453,gsm8k,na,official_solution_whitespace_tokens,33
148,37,3,math:DigitalLearningGmbH/MATH-lighteval:train:6518,14d1768b0d36dcce3ece33d718b83c795807f82493d8a9305ce804d96854296c,math,2,math_level_2,2
149,38,0,gsm8k:openai/gsm8k:train:3830,6f391fbaddf5a5e1fce82e4a5a16fe4f5a4e8590bc34dbac0a8798a1cc4587ad,gsm8k,na,official_solution_whitespace_tokens,33
150,38,1,gsm8k:openai/gsm8k:train:3989,b138e6f30af2eba3b5ed475dc6590d36e61828e2b7fcb0ae8d1f4e96e4ac6eb8,gsm8k,na,official_solution_whitespace_tokens,33
151,38,2,gsm8k:openai/gsm8k:train:3489,f153e5fee68408575a28324d92169e3d00094b19ce4f4e79b9a56c7f4ae18fab,gsm8k,na,official_solution_whitespace_tokens,33
152,38,3,math:DigitalLearningGmbH/MATH-lighteval:train:6414,18198287187495e60a42511d1b2fb0acbd01f95d80fdf137051f1425fd7e9240,math,2,math_level_2,2
153,39,0,gsm8k:openai/gsm8k:train:2849,2c8265807943471ac269c3ae6aa850dff102c5b748215f73c9b76f68b21c4ca4,gsm8k,na,official_solution_whitespace_tokens,34
