problem_id,dataset,math_level,prompt_hash,target_hash,prompt_token_count,target_token_count_excluding_eos,active_target_token_count_including_eos,combined_token_count,ignored_prompt_labels,active_labels,eos_active,prompt_cap,target_cap,sequence_cap,prompt_margin,target_margin,sequence_margin,truncation,status
gsm8k:openai/gsm8k:train:6982,gsm8k,,964f7b3164cb38e9e6adf5a6afaf357de80e0f4d3a3c449f9a86b7de1260936a,4e9c9b984d377fb15186d90f1a08de16a7c7290be5817cafdb8107e6da0195c0,126,81,82,208,126,82,True,928,640,1088,802,558,880,False,passed
gsm8k:openai/gsm8k:train:6492,gsm8k,,6302e51809899cd36bb2f04ef189cc7e5acf751112ebdb439bc756df4e3ac913,1d563ac283a7530e0b7b96bfa921de901dbe84c394e7061b5765f41e7715294c,128,101,102,230,128,102,True,928,640,1088,800,538,858,False,passed
gsm8k:openai/gsm8k:train:3458,gsm8k,,aed34f04f50c7eb86b05d4df780978d71628b51768c46e5d0559061107cf0aa8,47a5ef639b48037d7a14a865f76ad11370661b9c43b7842b4c0fc01ee1840977,132,148,149,281,132,149,True,928,640,1088,796,491,807,False,passed
gsm8k:openai/gsm8k:train:1394,gsm8k,,b5f54d9c8072f7371c321443bdfe0ace21892fc29fdaeaccdeaf5cd57b967175,1283cbb07a01c2182d6f0fd141a6eca3abea53f0805841eb97f4ff9065dbc4b8,133,112,113,246,133,113,True,928,640,1088,795,527,842,False,passed
gsm8k:openai/gsm8k:train:3636,gsm8k,,ff28ac06b1048f2207f9074514d9a4bc84023f25d0d78bf2f9726fbdb50f8ae0,9bb479e603bed0853df587e626064776aa4dfa96921410b1009f09f209cbfdb0,203,169,170,373,203,170,True,928,640,1088,725,470,715,False,passed
gsm8k:openai/gsm8k:train:3830,gsm8k,,6f391fbaddf5a5e1fce82e4a5a16fe4f5a4e8590bc34dbac0a8798a1cc4587ad,146f63c45c3544aeee95c5c3f9970908994851270900a8d902e75e9b36dc5e7d,150,81,82,232,150,82,True,928,640,1088,778,558,856,False,passed
gsm8k:openai/gsm8k:train:845,gsm8k,,85cd8b011a14405071ea62b097d6bbcf26af773115bf84fb82bad5f711ad1f23,db10c5cb5c57b27102143469ecd9d183a2aba4df163f2b401a88bab144af633e,150,82,83,233,150,83,True,928,640,1088,778,557,855,False,passed
gsm8k:openai/gsm8k:train:286,gsm8k,,2dc9983a46efdc6f464d0f1b0d0515b4470720591229f1b724a9bdac3b63897a,a8456bc3e09c72606e898d445fb117b45f44e594c51831440364e639fe03ce9a,165,67,68,233,165,68,True,928,640,1088,763,572,855,False,passed
gsm8k:openai/gsm8k:train:6831,gsm8k,,22c873bab2c31d09ec8af302e09d6d546c4b9e8a6c122f11df046d4c533a2138,36034d219fbe37530ecffa320a14e69d82b57b43a5f319020bc35f927cd63080,192,204,205,397,192,205,True,928,640,1088,736,435,691,False,passed
gsm8k:openai/gsm8k:train:6169,gsm8k,,67a560e2d52bef0d1265a34f1ce7a2d94fe4af15fc39638862a97ecc49f51bcd,4b31a93332cd27d52fd6b561407d3a91e5d16ed2b75eba7598f0beb364c7f2e3,172,170,171,343,172,171,True,928,640,1088,756,469,745,False,passed
gsm8k:openai/gsm8k:train:2849,gsm8k,,2c8265807943471ac269c3ae6aa850dff102c5b748215f73c9b76f68b21c4ca4,e5248a82d0e3785472c9ebfdca19dcbad54cc983f483aac069d2b6f649669ca1,166,115,116,282,166,116,True,928,640,1088,762,524,806,False,passed
gsm8k:openai/gsm8k:train:4227,gsm8k,,3e7cc794c4c5388ababd804336cfb1f37a2aab9c1e32250771e2ea535b0e1709,407521270763a572595e4cb3b108895a54bb0bc4dfa84e87c54a2f9ac5959d5a,171,136,137,308,171,137,True,928,640,1088,757,503,780,False,passed
gsm8k:openai/gsm8k:train:1701,gsm8k,,88a91c47106f3baf69ad6f350706e478564ca5a2a261e68cc2559eb0f5776c18,fc35e342f63be78061d3e9348409c4368371d10f0ea08437f95e1cf87bb734b6,164,151,152,316,164,152,True,928,640,1088,764,488,772,False,passed
gsm8k:openai/gsm8k:train:236,gsm8k,,e9d307147ec3cccd731990fdc6992505decffad3fc680d300c2706fef033e5b5,5b43848f53934895d00a5bd3b293536022f6fc72472cf9d0141adea9d65cad0a,152,140,141,293,152,141,True,928,640,1088,776,499,795,False,passed
gsm8k:openai/gsm8k:train:1592,gsm8k,,ae612c68842e8c6eef8ba90a48941890daf7c4dd846919934cd7e9f8d23b26e6,30d169330bee81e9d2a77053aa8b4a4d7fad31b9df34fb5e80bbe37aa48be9cc,133,108,109,242,133,109,True,928,640,1088,795,531,846,False,passed
gsm8k:openai/gsm8k:train:5504,gsm8k,,1b7eb1f56375e8e98bea6c5909f22bc3e106bcf27e22e23abbf76e7bbdc61453,fd13029f25d80df3554782fe304393392b5eeedd3bd46264f92360592b826478,153,114,115,268,153,115,True,928,640,1088,775,525,820,False,passed
gsm8k:openai/gsm8k:train:1598,gsm8k,,12cef05f1be25c738599caa1bb92f60601bb1682517acb5ac1b738753a5d6f9c,a4182ea739101de417a66572f412d5161fce26f2fc52d44bec5619b40238ffe1,170,136,137,307,170,137,True,928,640,1088,758,503,781,False,passed
gsm8k:openai/gsm8k:train:3497,gsm8k,,2453cdf22ac56cd8c9ce7d8efac35838b2290b2a06ffa7094d118f46502c6514,6b287d134efecca8008bc1677c187e680f87148fc31c169fb88da95bb9fdaeac,143,91,92,235,143,92,True,928,640,1088,785,548,853,False,passed
gsm8k:openai/gsm8k:train:6952,gsm8k,,f660512d835c69bf3a3f676e13988bf9e2816a3d84692c8f3088f23f469921d9,7c5bb3c2886403855976cc568035741b02e6eb7b907cf47ede939cd4c6e0945d,242,245,246,488,242,246,True,928,640,1088,686,394,600,False,passed
gsm8k:openai/gsm8k:train:4823,gsm8k,,ee5c2e5f92251e7d2a83b00e1132af0707de44ef78e5c860c2516d43c129d1bc,6ae3af51e6545475115a287ede94e1dd8e80f74764043a01ac79b7d96f022c3d,172,117,118,290,172,118,True,928,640,1088,756,522,798,False,passed
gsm8k:openai/gsm8k:train:5899,gsm8k,,7bff3aa4b419a046a409ac9a54dc4274470e71d115ac3ae09233090a10357452,750e7c6b9fbe94f40e507c53e9bd19554f542869ddd480a7c1e4c6e52912b465,145,110,111,256,145,111,True,928,640,1088,783,529,832,False,passed
gsm8k:openai/gsm8k:train:6507,gsm8k,,7590e53e68beaa71eb06bb1f714db407172bf4e67fa68bea2e0e6c5bb1c15ced,c847f16cee615d689d6d0c0467a7eeb72b4b9df95ef6e233f885a34da1456cbc,146,78,79,225,146,79,True,928,640,1088,782,561,863,False,passed
gsm8k:openai/gsm8k:train:5446,gsm8k,,bdd901058efacc55dd8b142bf22616b5db25d6d5660d17086e9ba687e74413fb,3d6d3392784fe18cc36570ad18490e24b0a5d2b4c2ff2f08d293863c2a09363e,164,163,164,328,164,164,True,928,640,1088,764,476,760,False,passed
gsm8k:openai/gsm8k:train:5491,gsm8k,,93a82f4cb181b8c60bc90d989f07995b3f842a1ade0aac9cf8996441c447cd34,19cacfab31203b50c60e334c9026361a30839d19f91138abc587b3b50ca054d8,151,55,56,207,151,56,True,928,640,1088,777,584,881,False,passed
gsm8k:openai/gsm8k:train:7056,gsm8k,,528a0b00bb9dcc31816b21bd7c8e3988f0184477e2f8ca7b7b0e3cf0c64f2809,26a610e4eab03d36fca03f6744e982a0d384f6d8a66317da317bbe3b86c32bef,177,185,186,363,177,186,True,928,640,1088,751,454,725,False,passed
gsm8k:openai/gsm8k:train:6912,gsm8k,,10723956082fa913e8ffef6cd7b4690e52216094dad2b22bbb2024dc3fedfdbd,2dcd987906f4577e660f757a5c7dd5af57bc1f80dea7e51d68fd55fbfd4da212,159,179,180,339,159,180,True,928,640,1088,769,460,749,False,passed
gsm8k:openai/gsm8k:train:3715,gsm8k,,cd01ef3096493fef344180280ac98f298cd2c33fc4a3bc26beb64e5d87a51871,2bbd7761bf226892ee8eb1692273a9716edc0d77d188e90066dce5c39c3da6f4,177,305,306,483,177,306,True,928,640,1088,751,334,605,False,passed
gsm8k:openai/gsm8k:train:6504,gsm8k,,a355f43f20d78a71969fbe17f32c711f65a69ce6730f373fbd03f26f91720eec,63c8dd4773e53dbbc1b5ee65027979389b76616fe90d3d30ff94e26b8134ceae,155,183,184,339,155,184,True,928,640,1088,773,456,749,False,passed
gsm8k:openai/gsm8k:train:4082,gsm8k,,6696726846e834e32d5a2abe3f6553ac4d824487b6a1ba732b852130691c8994,7ec9b2c90062350371fbe870b8087fe8fe370fe3798e4e52968dda2711e3e42e,151,61,62,213,151,62,True,928,640,1088,777,578,875,False,passed
gsm8k:openai/gsm8k:train:5847,gsm8k,,0fef36d7b4b52ae21403ff86e01c7448aa568872a51581b5979df1faec08a6e8,906399c18bc87a8d24f95a4e5b48a6653176c1d86a3bdda32d46a7e986f9b1eb,139,121,122,261,139,122,True,928,640,1088,789,518,827,False,passed
gsm8k:openai/gsm8k:train:1748,gsm8k,,795592383837a89a268431b517ef782cd488cf7aceb0872d689610bed575a92f,f2377ef6e9dc8871c282d13720c829eeb292d3311c19480193f9c7cfd8bdb6cf,131,69,70,201,131,70,True,928,640,1088,797,570,887,False,passed
gsm8k:openai/gsm8k:train:2495,gsm8k,,16d08d5ab23f629b45049596e55390a11682adce9a291897e5815adfd6dc6e4e,3a30e36f13c6cce0192c458ecc6c0cdaab80ff8a8141065f680181150f453f00,151,107,108,259,151,108,True,928,640,1088,777,532,829,False,passed
gsm8k:openai/gsm8k:train:2476,gsm8k,,a1f823ec5e3054f10db19133409eaaee1110d48ce0b86f426924251d4a2d8f1b,d01f07fccc4c61727007e198ec216c859c83d14ba967b907cc5ff2640bab663f,132,77,78,210,132,78,True,928,640,1088,796,562,878,False,passed
gsm8k:openai/gsm8k:train:4193,gsm8k,,7429669efa2bb9bdc07c4236ac567c106b2970a9c965127b7986b626ed1de7e8,8dd10ef2f9344c017c99935de05973a4c6b888c5600b61c1e696b4b5c3bd3f48,145,113,114,259,145,114,True,928,640,1088,783,526,829,False,passed
gsm8k:openai/gsm8k:train:4426,gsm8k,,ba48af22fb7ae928bcde1e1cd59c4586459726d9f75206a3b8a5732de1e8303f,d12c5c2c02382d51c0ce26d92992a7b50eefca3367b14a6f001ac256cbab0f83,141,100,101,242,141,101,True,928,640,1088,787,539,846,False,passed
gsm8k:openai/gsm8k:train:2729,gsm8k,,666feec8c1e5bdb277bad85f92ba4b24677fc5f1c3b6063fcfc0176bd99f59d7,a9137009e0a1b8183301a155a59d3111c6348426d95fa15b958655146d6c8ca2,154,105,106,260,154,106,True,928,640,1088,774,534,828,False,passed
gsm8k:openai/gsm8k:train:38,gsm8k,,ea66ef8b11aa8d8a4498b7813627b9ea37d729b849d536d602ea51a402938c38,e883737fbf74a06bf210c0ba386f10eb9a07d21db95c71190625df817d23ad9a,171,68,69,240,171,69,True,928,640,1088,757,571,848,False,passed
gsm8k:openai/gsm8k:train:2005,gsm8k,,62f4bcfc8df6eaa2f557b48b4b733bb37acee9ad6da7912e6cb741b03d0dfba1,f69fa3422191df86f0cf393793fe15a392c2187d18b5bc715baf5bd3b85240c1,162,171,172,334,162,172,True,928,640,1088,766,468,754,False,passed
gsm8k:openai/gsm8k:train:6027,gsm8k,,e59259f7d17733d8b9d39febcb24a6577bd21c319f8272f756c04a686bb8cdca,c724d45827637cc945b9f0db0fb652525eb33d06e8ed0866fa8795c1ccf3d0f0,143,97,98,241,143,98,True,928,640,1088,785,542,847,False,passed
gsm8k:openai/gsm8k:train:549,gsm8k,,1ece528f59d8445c0953394a8b2872fc3abdcae461c76871b1860ff42e3e8918,de6754f9febdba423d6f141efd2b52e316c148d20ca04caaa475b2d36b179ac6,163,179,180,343,163,180,True,928,640,1088,765,460,745,False,passed
gsm8k:openai/gsm8k:train:7391,gsm8k,,71d2d5d0f717bd7ecfc5388de1d71f7617447ffca3053a4c51f031811e1d6503,21afd9fc0dd78ec9a1dfab1f1c585a2cca7be42175fd8d1973ed158f4fb0c139,173,97,98,271,173,98,True,928,640,1088,755,542,817,False,passed
gsm8k:openai/gsm8k:train:7087,gsm8k,,77031c3de5e647f382fdf9f1e58a80fb0fa54f2a3773d6899fa44dacb43f1a57,8163506f9dae085da4d4e22f61078c2e55d7bbaaaa484cd6e426daf1d558c17b,170,138,139,309,170,139,True,928,640,1088,758,501,779,False,passed
gsm8k:openai/gsm8k:train:3867,gsm8k,,900110ed24fde47bac4fd734f2d6977fef894cd89ad704a3930fca61ba810195,6c95a5e7042de4560739b71d17e84f880a2cfa459b8f6b156896a91e7b97cddd,160,135,136,296,160,136,True,928,640,1088,768,504,792,False,passed
gsm8k:openai/gsm8k:train:6624,gsm8k,,1a80c2dcd6f8422818445721cc95ab2a0f89fa3ef9084b9cb7b844a79723ea7a,9636e1e6fc5495d6c6964d2c65c6b70c77fd08ffaf8b684a9f80768a6177ade3,129,73,74,203,129,74,True,928,640,1088,799,566,885,False,passed
gsm8k:openai/gsm8k:train:214,gsm8k,,e095eb2272550c219634adf8fe5a5d8d615ef9360ca092002d8df49a939e141a,3ce76bb4ec1dfffb42e224e3824ce2d794584313a6e0cd157b8a7cb134ab6400,130,182,183,313,130,183,True,928,640,1088,798,457,775,False,passed
gsm8k:openai/gsm8k:train:4533,gsm8k,,2fd616587d042802a6362b36a5ca0167eaabf128b46cdfb6acaaa3834216be2b,2de741f7f750f4eca9db7ad8c46c326114b5ee0c70023d9f94f472c1fb1eada3,151,156,157,308,151,157,True,928,640,1088,777,483,780,False,passed
gsm8k:openai/gsm8k:train:1505,gsm8k,,507b314fd9875f88fd6ab72bf69c1e21ca2ac69466f5d32e72114e17f54faf45,e0ce78b538440d616a824ced66b1601dbc3796b769b2b7bd5f6badedba90f8a6,158,150,151,309,158,151,True,928,640,1088,770,489,779,False,passed
gsm8k:openai/gsm8k:train:3614,gsm8k,,f0c89c14e6f3caec51308711f2524b713a98ea9a0203527972ba5db9606b3f91,60237b1c806c97388b461bd466f724b77c83bbe9c44a3670cbf231bd72cd6c28,168,112,113,281,168,113,True,928,640,1088,760,527,807,False,passed
gsm8k:openai/gsm8k:train:1126,gsm8k,,82612ceecc2eb1284504fa92e72c388995ed4e96ed850fd0961dd8922dcf12a0,95b3bae33b11e176255a1fa05926f233506295716205c6d2aca9604dc890369c,160,110,111,271,160,111,True,928,640,1088,768,529,817,False,passed
gsm8k:openai/gsm8k:train:4219,gsm8k,,79b0722df15e04f4f8eb2617dd50e8aa2504b0e79537c4520a139c34afd4d3da,c0ac52a9275d06f75b44e07b1c5f0d0b9a4238d8fc39d1b565d5cc70ed2851ad,140,124,125,265,140,125,True,928,640,1088,788,515,823,False,passed
gsm8k:openai/gsm8k:train:6995,gsm8k,,f0221e53991014c873ad94612fc2e66a9033bb30d38baa309014848dab63c8dd,f94330703be453433dedc78cd5f9021d1cb7f74c0b9ef9b435a69a6a9ba8a35b,146,140,141,287,146,141,True,928,640,1088,782,499,801,False,passed
gsm8k:openai/gsm8k:train:3300,gsm8k,,bc203bc190b76ad87bad2e5f091404bf55c69bfc6c4300426f54e582cfa26a8d,cdba8f1d7cbacee6c3777788e127733d6071b595077fb072e371233915132fd4,141,59,60,201,141,60,True,928,640,1088,787,580,887,False,passed
gsm8k:openai/gsm8k:train:5174,gsm8k,,035157bc767534b72a65ab795f8d4eabf9baf7eb8448fc945f9e3722c89e6a8d,499fc5797d821924d8799d94e8a3c66894e93ad846f3e55e0bcd2656d990fd6e,196,163,164,360,196,164,True,928,640,1088,732,476,728,False,passed
gsm8k:openai/gsm8k:train:4927,gsm8k,,08659037c6f6fd867cf5bd4a5211c2ce8c2345d2a701ab39973345b23f6bde07,96f98d6de56d0df28ee4e40f6fe762b43fbf739ea105bbb9b75da492d1ef2a16,170,188,189,359,170,189,True,928,640,1088,758,451,729,False,passed
gsm8k:openai/gsm8k:train:6250,gsm8k,,7c7a6421bc0a77b74c3c1a83d527b5e1867caaebe5fcf97329116374946e880b,21520abe052b3e8cf9cd1bb16c71df5f4573f716fa5c6dbf2b995963404235d9,148,102,103,251,148,103,True,928,640,1088,780,537,837,False,passed
gsm8k:openai/gsm8k:train:1052,gsm8k,,36c5cdd288eb79a23d319fd5fd378d27e6120be7fad09441bbd449a79177e30c,b914f5ef6e5ce5989efa8e0ea69ad61394129c4f03fb8a87fb1d4c65bcabf566,139,109,110,249,139,110,True,928,640,1088,789,530,839,False,passed
gsm8k:openai/gsm8k:train:3132,gsm8k,,2039f7599a30383423e424b80ef5e532303180ea063b319f55679077093ac815,04f72c4347a5031bfe3558beaf30167f54f1a8cce8f74c13474c981f62bc5dc9,160,173,174,334,160,174,True,928,640,1088,768,466,754,False,passed
gsm8k:openai/gsm8k:train:5785,gsm8k,,4cc29a330520ec1edae6b44da8ee899d2ab367f7aa8a25aced9913b03df41146,6929782be2883a2e4f5e7b3681b7b68ee6b4a2a6a3e8be6a10f103237a8db93d,150,122,123,273,150,123,True,928,640,1088,778,517,815,False,passed
gsm8k:openai/gsm8k:train:2834,gsm8k,,01984d2bc6b2e3587fc3d4fdb0f94b28754a97846889f8a67c493cd6ce3bf8cc,7a7a58c0e89a990cd3c9d7ec92dc4ad8f428e5f8ac0a31c988b82f8c083bc263,158,159,160,318,158,160,True,928,640,1088,770,480,770,False,passed
gsm8k:openai/gsm8k:train:3125,gsm8k,,5dd7b0c4d10a24952d4fa7ce692f51f7edea11c912a150086da6bf1e1a2832bb,f58554a34962fe0b15f8493fae9f82d9c2e4df8edcdb5302e8e9e59d0fee4c6b,176,211,212,388,176,212,True,928,640,1088,752,428,700,False,passed
gsm8k:openai/gsm8k:train:6685,gsm8k,,a67ff092bb2c7b6c6ef15bcf78c87db31f2a05842319465a6d76105c3d2b7e7c,1a234fb3f0b824b8e48c5c7866c82ff8ecbe5c1ad3a2f9299e314d9e4315984d,182,244,245,427,182,245,True,928,640,1088,746,395,661,False,passed
gsm8k:openai/gsm8k:train:7263,gsm8k,,d5fa2f9f30880021f254d0901fc33309d97ccfc45c812844db82e2b19a55e61e,c4c509e95e728acd84ca51421785c79053f438312b7d830572f00d6fd3a8226a,172,169,170,342,172,170,True,928,640,1088,756,470,746,False,passed
gsm8k:openai/gsm8k:train:6645,gsm8k,,44f722a21d7581153e1c1d6ded92ef30a961314d381d77c2e1d306df0b351d8c,bd2a7ed5f7df7d6339888a48e1956f69d00e2fb3947b3f081d42338182396522,125,85,86,211,125,86,True,928,640,1088,803,554,877,False,passed
gsm8k:openai/gsm8k:train:6826,gsm8k,,1a0756e1290f53493301f4812a4f6f14f4436d55b6b8e8acec460bb0614a2435,71249f2af64a8bd57d5f8c976b5c5896e9eb8db1a3cc4cd259943def4509caac,148,127,128,276,148,128,True,928,640,1088,780,512,812,False,passed
gsm8k:openai/gsm8k:train:7095,gsm8k,,947fca0e6259fdc4f127997597db91a699583a864573fc89a15c63723e4076a7,b20454c3138c85e8d7514d9977650c09b08dde14f1056a5f169fb32695b373bd,197,187,188,385,197,188,True,928,640,1088,731,452,703,False,passed
gsm8k:openai/gsm8k:train:3417,gsm8k,,4fd221fd9bf7960ac436c3b7bed7f9c21fd0d37c39b40494b165f7165e6a8bde,5ee003a8e8def57754faf48d9f9e254647bc688e2115e9a7fbd2a7b18710cd93,158,161,162,320,158,162,True,928,640,1088,770,478,768,False,passed
