problem_id,dataset,domain,math_level,prompt_hash,target_hash,prompt_token_count,target_token_count,combined_token_count,active_label_token_count,ignored_label_token_count,eos_present,eos_position,target_cap,target_cap_margin,prompt_cap,prompt_cap_margin,combined_contract_cap,combined_cap_margin,model_context_length,model_context_margin,truncation,would_exceed_target_cap,would_exceed_prompt_cap,normalization_identity,validation_status
gsm8k:openai/gsm8k:train:2833,gsm8k,gsm8k,,ff2522245ea447ca8fa7646af3d1da8420878157f0c0ca582532464a64bab7d9,b4b6d6384b8c593728861161561e32c035c7d0022eb9d4c09ed1c97381a4a0ba,194,185,380,186,194,True,379,256,70,832,638,1088,708,131072,130692,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:3615,gsm8k,gsm8k,,b44cdb17340dd5a0184028365672b9712e6cd03dd96a3b6714691e7cce8cc815,8245d35dc1f14042aec04b4eafd06c1b02f429e09a9266985418d518d867b582,167,133,301,134,167,True,300,256,122,832,665,1088,787,131072,130771,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:6674,gsm8k,gsm8k,,446e0c3d33078020ca226858a67a8bf95d3bbb8d8cf54f283cb4c4dbb4259666,7e98c6e481779a2e90f9299dbad0b9893d506bd321a13bd346ad2c585b8dec3d,156,149,306,150,156,True,305,256,106,832,676,1088,782,131072,130766,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:4834,gsm8k,gsm8k,,b2991842d4ecb748aecca75a6cad6922df8786b1fbc6d2851670f5d717ebd83b,6d340d199426d452b7729f2106d42e8d747c994006c76fb4063f2df96ba3fcf1,157,120,278,121,157,True,277,256,135,832,675,1088,810,131072,130794,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:2400,gsm8k,gsm8k,,5b42ae1c63fa33429499a798f953bbd9e838bd720309f81b6fe298458c59b33c,d0ca85c6a0971c310b0b6f8b1aa36ba652623fa33fe27393552577bc3662a648,131,76,208,77,131,True,207,256,179,832,701,1088,880,131072,130864,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:3379,gsm8k,gsm8k,,b25c768a305ae3b8fee6003df7a556c9477dba59bde586fbccc86bd547b585ed,541965b5e3fea044a200d9ad2e9f2ffa1a5fcce3a89accc8199051ac1cc4abb8,140,60,201,61,140,True,200,256,195,832,692,1088,887,131072,130871,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:6212,gsm8k,gsm8k,,323b6a08198d1eb1342141350b1002d5eed786144a1b1b27708e77751d4588f3,eac6422fd01e6f113c0425f66a94bab1fb4f12ed6062db9e98b0766adcad2c46,155,121,277,122,155,True,276,256,134,832,677,1088,811,131072,130795,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:4772,gsm8k,gsm8k,,4e7941dd749ee480d82c79d98865a9abb6a90f3d37427ea9ff1325bad61ed3a5,4390393a73c37171615d8778c105f473162ab775ddcdb859b7d91ab310d87382,167,177,345,178,167,True,344,256,78,832,665,1088,743,131072,130727,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:4509,gsm8k,gsm8k,,1e41922467239eddb686bc6a83fe10eb13780a94f7067f5625e6b381c05adcee,4448673dcf56a79859398a13761991d70e85c1019964e5b6fe925d09e59d3b76,156,251,408,252,156,True,407,256,4,832,676,1088,680,131072,130664,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:7004,gsm8k,gsm8k,,b9f17e07505389ca0c50c78a514ef37aa48d21284f3c596fce8287acf43527ce,026be7821e6873e20b8377704685206ce9b7f6c17fa40741f9919304774ac1c1,143,188,332,189,143,True,331,256,67,832,689,1088,756,131072,130740,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:5440,gsm8k,gsm8k,,ec42847a2f19e3381e660980eeb68a7b0b6e99a365529dd83c6827b88643c2d0,83733f1123a5290662da6b8b505ab9d9462426f24cbd58823b8f5ac0f36306ab,140,130,271,131,140,True,270,256,125,832,692,1088,817,131072,130801,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:1001,gsm8k,gsm8k,,393de9cd0e20267f72d7ebee1bdad79f740c62675ab90338d440bf2d2c509266,8be5624bcf0c4c4ee37af52f58800e955123faad159d0e1180222490e6c0d49b,173,224,398,225,173,True,397,256,31,832,659,1088,690,131072,130674,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:2965,gsm8k,gsm8k,,efa897cb4f11d73775a66169094ab53c9df931897f1c7e1b3108227a96d58f1e,7ae4fe6b7a27b23931e63d16022da69d9514342c84bee3ac4b30b7834fba7ac6,163,162,326,163,163,True,325,256,93,832,669,1088,762,131072,130746,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:2115,gsm8k,gsm8k,,c8b3f669dfa273970c59811e1b3a9c7b0177704e22a1e2f8b6c82727319eba8a,8fb3156c9e6f20791e1b17fee8fcbeed916bbc5d38858bdab2ce435e4fb5226c,167,69,237,70,167,True,236,256,186,832,665,1088,851,131072,130835,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:6982,gsm8k,gsm8k,,964f7b3164cb38e9e6adf5a6afaf357de80e0f4d3a3c449f9a86b7de1260936a,4e9c9b984d377fb15186d90f1a08de16a7c7290be5817cafdb8107e6da0195c0,126,81,208,82,126,True,207,256,174,832,706,1088,880,131072,130864,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:6492,gsm8k,gsm8k,,6302e51809899cd36bb2f04ef189cc7e5acf751112ebdb439bc756df4e3ac913,1d563ac283a7530e0b7b96bfa921de901dbe84c394e7061b5765f41e7715294c,128,101,230,102,128,True,229,256,154,832,704,1088,858,131072,130842,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:3458,gsm8k,gsm8k,,aed34f04f50c7eb86b05d4df780978d71628b51768c46e5d0559061107cf0aa8,47a5ef639b48037d7a14a865f76ad11370661b9c43b7842b4c0fc01ee1840977,132,148,281,149,132,True,280,256,107,832,700,1088,807,131072,130791,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:1394,gsm8k,gsm8k,,b5f54d9c8072f7371c321443bdfe0ace21892fc29fdaeaccdeaf5cd57b967175,1283cbb07a01c2182d6f0fd141a6eca3abea53f0805841eb97f4ff9065dbc4b8,133,112,246,113,133,True,245,256,143,832,699,1088,842,131072,130826,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:3636,gsm8k,gsm8k,,ff28ac06b1048f2207f9074514d9a4bc84023f25d0d78bf2f9726fbdb50f8ae0,9bb479e603bed0853df587e626064776aa4dfa96921410b1009f09f209cbfdb0,203,169,373,170,203,True,372,256,86,832,629,1088,715,131072,130699,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:3830,gsm8k,gsm8k,,6f391fbaddf5a5e1fce82e4a5a16fe4f5a4e8590bc34dbac0a8798a1cc4587ad,146f63c45c3544aeee95c5c3f9970908994851270900a8d902e75e9b36dc5e7d,150,81,232,82,150,True,231,256,174,832,682,1088,856,131072,130840,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:845,gsm8k,gsm8k,,85cd8b011a14405071ea62b097d6bbcf26af773115bf84fb82bad5f711ad1f23,db10c5cb5c57b27102143469ecd9d183a2aba4df163f2b401a88bab144af633e,150,82,233,83,150,True,232,256,173,832,682,1088,855,131072,130839,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:286,gsm8k,gsm8k,,2dc9983a46efdc6f464d0f1b0d0515b4470720591229f1b724a9bdac3b63897a,a8456bc3e09c72606e898d445fb117b45f44e594c51831440364e639fe03ce9a,165,67,233,68,165,True,232,256,188,832,667,1088,855,131072,130839,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:6831,gsm8k,gsm8k,,22c873bab2c31d09ec8af302e09d6d546c4b9e8a6c122f11df046d4c533a2138,36034d219fbe37530ecffa320a14e69d82b57b43a5f319020bc35f927cd63080,192,204,397,205,192,True,396,256,51,832,640,1088,691,131072,130675,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:6169,gsm8k,gsm8k,,67a560e2d52bef0d1265a34f1ce7a2d94fe4af15fc39638862a97ecc49f51bcd,4b31a93332cd27d52fd6b561407d3a91e5d16ed2b75eba7598f0beb364c7f2e3,172,170,343,171,172,True,342,256,85,832,660,1088,745,131072,130729,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:2849,gsm8k,gsm8k,,2c8265807943471ac269c3ae6aa850dff102c5b748215f73c9b76f68b21c4ca4,e5248a82d0e3785472c9ebfdca19dcbad54cc983f483aac069d2b6f649669ca1,166,115,282,116,166,True,281,256,140,832,666,1088,806,131072,130790,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:4227,gsm8k,gsm8k,,3e7cc794c4c5388ababd804336cfb1f37a2aab9c1e32250771e2ea535b0e1709,407521270763a572595e4cb3b108895a54bb0bc4dfa84e87c54a2f9ac5959d5a,171,136,308,137,171,True,307,256,119,832,661,1088,780,131072,130764,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:1701,gsm8k,gsm8k,,88a91c47106f3baf69ad6f350706e478564ca5a2a261e68cc2559eb0f5776c18,fc35e342f63be78061d3e9348409c4368371d10f0ea08437f95e1cf87bb734b6,164,151,316,152,164,True,315,256,104,832,668,1088,772,131072,130756,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:236,gsm8k,gsm8k,,e9d307147ec3cccd731990fdc6992505decffad3fc680d300c2706fef033e5b5,5b43848f53934895d00a5bd3b293536022f6fc72472cf9d0141adea9d65cad0a,152,140,293,141,152,True,292,256,115,832,680,1088,795,131072,130779,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:1592,gsm8k,gsm8k,,ae612c68842e8c6eef8ba90a48941890daf7c4dd846919934cd7e9f8d23b26e6,30d169330bee81e9d2a77053aa8b4a4d7fad31b9df34fb5e80bbe37aa48be9cc,133,108,242,109,133,True,241,256,147,832,699,1088,846,131072,130830,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:5504,gsm8k,gsm8k,,1b7eb1f56375e8e98bea6c5909f22bc3e106bcf27e22e23abbf76e7bbdc61453,fd13029f25d80df3554782fe304393392b5eeedd3bd46264f92360592b826478,153,114,268,115,153,True,267,256,141,832,679,1088,820,131072,130804,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:1598,gsm8k,gsm8k,,12cef05f1be25c738599caa1bb92f60601bb1682517acb5ac1b738753a5d6f9c,a4182ea739101de417a66572f412d5161fce26f2fc52d44bec5619b40238ffe1,170,136,307,137,170,True,306,256,119,832,662,1088,781,131072,130765,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:3497,gsm8k,gsm8k,,2453cdf22ac56cd8c9ce7d8efac35838b2290b2a06ffa7094d118f46502c6514,6b287d134efecca8008bc1677c187e680f87148fc31c169fb88da95bb9fdaeac,143,91,235,92,143,True,234,256,164,832,689,1088,853,131072,130837,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:6952,gsm8k,gsm8k,,f660512d835c69bf3a3f676e13988bf9e2816a3d84692c8f3088f23f469921d9,7c5bb3c2886403855976cc568035741b02e6eb7b907cf47ede939cd4c6e0945d,242,245,488,246,242,True,487,256,10,832,590,1088,600,131072,130584,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:4823,gsm8k,gsm8k,,ee5c2e5f92251e7d2a83b00e1132af0707de44ef78e5c860c2516d43c129d1bc,6ae3af51e6545475115a287ede94e1dd8e80f74764043a01ac79b7d96f022c3d,172,117,290,118,172,True,289,256,138,832,660,1088,798,131072,130782,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:5899,gsm8k,gsm8k,,7bff3aa4b419a046a409ac9a54dc4274470e71d115ac3ae09233090a10357452,750e7c6b9fbe94f40e507c53e9bd19554f542869ddd480a7c1e4c6e52912b465,145,110,256,111,145,True,255,256,145,832,687,1088,832,131072,130816,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:6507,gsm8k,gsm8k,,7590e53e68beaa71eb06bb1f714db407172bf4e67fa68bea2e0e6c5bb1c15ced,c847f16cee615d689d6d0c0467a7eeb72b4b9df95ef6e233f885a34da1456cbc,146,78,225,79,146,True,224,256,177,832,686,1088,863,131072,130847,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:5446,gsm8k,gsm8k,,bdd901058efacc55dd8b142bf22616b5db25d6d5660d17086e9ba687e74413fb,3d6d3392784fe18cc36570ad18490e24b0a5d2b4c2ff2f08d293863c2a09363e,164,163,328,164,164,True,327,256,92,832,668,1088,760,131072,130744,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:5491,gsm8k,gsm8k,,93a82f4cb181b8c60bc90d989f07995b3f842a1ade0aac9cf8996441c447cd34,19cacfab31203b50c60e334c9026361a30839d19f91138abc587b3b50ca054d8,151,55,207,56,151,True,206,256,200,832,681,1088,881,131072,130865,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:7056,gsm8k,gsm8k,,528a0b00bb9dcc31816b21bd7c8e3988f0184477e2f8ca7b7b0e3cf0c64f2809,26a610e4eab03d36fca03f6744e982a0d384f6d8a66317da317bbe3b86c32bef,177,185,363,186,177,True,362,256,70,832,655,1088,725,131072,130709,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:6912,gsm8k,gsm8k,,10723956082fa913e8ffef6cd7b4690e52216094dad2b22bbb2024dc3fedfdbd,2dcd987906f4577e660f757a5c7dd5af57bc1f80dea7e51d68fd55fbfd4da212,159,179,339,180,159,True,338,256,76,832,673,1088,749,131072,130733,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:3715,gsm8k,gsm8k,,cd01ef3096493fef344180280ac98f298cd2c33fc4a3bc26beb64e5d87a51871,2bbd7761bf226892ee8eb1692273a9716edc0d77d188e90066dce5c39c3da6f4,177,305,483,306,177,True,482,256,-50,832,655,1088,605,131072,130589,False,True,False,gsm8k_rsplit_hashhash_strip_commas_v1,blocked_cap_exceeded
gsm8k:openai/gsm8k:train:6504,gsm8k,gsm8k,,a355f43f20d78a71969fbe17f32c711f65a69ce6730f373fbd03f26f91720eec,63c8dd4773e53dbbc1b5ee65027979389b76616fe90d3d30ff94e26b8134ceae,155,183,339,184,155,True,338,256,72,832,677,1088,749,131072,130733,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:4082,gsm8k,gsm8k,,6696726846e834e32d5a2abe3f6553ac4d824487b6a1ba732b852130691c8994,7ec9b2c90062350371fbe870b8087fe8fe370fe3798e4e52968dda2711e3e42e,151,61,213,62,151,True,212,256,194,832,681,1088,875,131072,130859,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:5847,gsm8k,gsm8k,,0fef36d7b4b52ae21403ff86e01c7448aa568872a51581b5979df1faec08a6e8,906399c18bc87a8d24f95a4e5b48a6653176c1d86a3bdda32d46a7e986f9b1eb,139,121,261,122,139,True,260,256,134,832,693,1088,827,131072,130811,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:1748,gsm8k,gsm8k,,795592383837a89a268431b517ef782cd488cf7aceb0872d689610bed575a92f,f2377ef6e9dc8871c282d13720c829eeb292d3311c19480193f9c7cfd8bdb6cf,131,69,201,70,131,True,200,256,186,832,701,1088,887,131072,130871,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:2495,gsm8k,gsm8k,,16d08d5ab23f629b45049596e55390a11682adce9a291897e5815adfd6dc6e4e,3a30e36f13c6cce0192c458ecc6c0cdaab80ff8a8141065f680181150f453f00,151,107,259,108,151,True,258,256,148,832,681,1088,829,131072,130813,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:2476,gsm8k,gsm8k,,a1f823ec5e3054f10db19133409eaaee1110d48ce0b86f426924251d4a2d8f1b,d01f07fccc4c61727007e198ec216c859c83d14ba967b907cc5ff2640bab663f,132,77,210,78,132,True,209,256,178,832,700,1088,878,131072,130862,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:4193,gsm8k,gsm8k,,7429669efa2bb9bdc07c4236ac567c106b2970a9c965127b7986b626ed1de7e8,8dd10ef2f9344c017c99935de05973a4c6b888c5600b61c1e696b4b5c3bd3f48,145,113,259,114,145,True,258,256,142,832,687,1088,829,131072,130813,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:4426,gsm8k,gsm8k,,ba48af22fb7ae928bcde1e1cd59c4586459726d9f75206a3b8a5732de1e8303f,d12c5c2c02382d51c0ce26d92992a7b50eefca3367b14a6f001ac256cbab0f83,141,100,242,101,141,True,241,256,155,832,691,1088,846,131072,130830,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:2729,gsm8k,gsm8k,,666feec8c1e5bdb277bad85f92ba4b24677fc5f1c3b6063fcfc0176bd99f59d7,a9137009e0a1b8183301a155a59d3111c6348426d95fa15b958655146d6c8ca2,154,105,260,106,154,True,259,256,150,832,678,1088,828,131072,130812,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:38,gsm8k,gsm8k,,ea66ef8b11aa8d8a4498b7813627b9ea37d729b849d536d602ea51a402938c38,e883737fbf74a06bf210c0ba386f10eb9a07d21db95c71190625df817d23ad9a,171,68,240,69,171,True,239,256,187,832,661,1088,848,131072,130832,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:2005,gsm8k,gsm8k,,62f4bcfc8df6eaa2f557b48b4b733bb37acee9ad6da7912e6cb741b03d0dfba1,f69fa3422191df86f0cf393793fe15a392c2187d18b5bc715baf5bd3b85240c1,162,171,334,172,162,True,333,256,84,832,670,1088,754,131072,130738,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:6027,gsm8k,gsm8k,,e59259f7d17733d8b9d39febcb24a6577bd21c319f8272f756c04a686bb8cdca,c724d45827637cc945b9f0db0fb652525eb33d06e8ed0866fa8795c1ccf3d0f0,143,97,241,98,143,True,240,256,158,832,689,1088,847,131072,130831,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:549,gsm8k,gsm8k,,1ece528f59d8445c0953394a8b2872fc3abdcae461c76871b1860ff42e3e8918,de6754f9febdba423d6f141efd2b52e316c148d20ca04caaa475b2d36b179ac6,163,179,343,180,163,True,342,256,76,832,669,1088,745,131072,130729,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:7391,gsm8k,gsm8k,,71d2d5d0f717bd7ecfc5388de1d71f7617447ffca3053a4c51f031811e1d6503,21afd9fc0dd78ec9a1dfab1f1c585a2cca7be42175fd8d1973ed158f4fb0c139,173,97,271,98,173,True,270,256,158,832,659,1088,817,131072,130801,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:7087,gsm8k,gsm8k,,77031c3de5e647f382fdf9f1e58a80fb0fa54f2a3773d6899fa44dacb43f1a57,8163506f9dae085da4d4e22f61078c2e55d7bbaaaa484cd6e426daf1d558c17b,170,138,309,139,170,True,308,256,117,832,662,1088,779,131072,130763,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:3867,gsm8k,gsm8k,,900110ed24fde47bac4fd734f2d6977fef894cd89ad704a3930fca61ba810195,6c95a5e7042de4560739b71d17e84f880a2cfa459b8f6b156896a91e7b97cddd,160,135,296,136,160,True,295,256,120,832,672,1088,792,131072,130776,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:6624,gsm8k,gsm8k,,1a80c2dcd6f8422818445721cc95ab2a0f89fa3ef9084b9cb7b844a79723ea7a,9636e1e6fc5495d6c6964d2c65c6b70c77fd08ffaf8b684a9f80768a6177ade3,129,73,203,74,129,True,202,256,182,832,703,1088,885,131072,130869,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
gsm8k:openai/gsm8k:train:214,gsm8k,gsm8k,,e095eb2272550c219634adf8fe5a5d8d615ef9360ca092002d8df49a939e141a,3ce76bb4ec1dfffb42e224e3824ce2d794584313a6e0cd157b8a7cb134ab6400,130,182,313,183,130,True,312,256,73,832,702,1088,775,131072,130759,False,False,False,gsm8k_rsplit_hashhash_strip_commas_v1,passed
