phase,update_or_checkpoint,domain,difficulty,canonical_status,outcome_category,completion_count,truncated_count,truncation_rate
training,30,math,,format_error,non_truncated_format_failure,4,0,0.0
training,30,math,,verified_pass,canonical_pass,1,0,0.0
training,30,math,,wrong_answer,parseable_wrong_answer,3,0,0.0
training,31,gsm8k,,format_error,non_truncated_format_failure,4,0,0.0
training,31,gsm8k,,parse_error,parse_error,2,0,0.0
training,31,gsm8k,,verified_pass,canonical_pass,2,0,0.0
training,31,math,,verified_pass,canonical_pass,3,0,0.0
training,31,math,,wrong_answer,parseable_wrong_answer,5,0,0.0
training,32,gsm8k,,format_error,non_truncated_format_failure,3,0,0.0
training,32,gsm8k,,parse_error,parse_error,2,0,0.0
training,32,gsm8k,,verified_pass,canonical_pass,1,0,0.0
training,32,gsm8k,,wrong_answer,parseable_wrong_answer,2,0,0.0
training,32,math,,format_error,non_truncated_format_failure,5,0,0.0
training,32,math,,verified_pass,canonical_pass,1,0,0.0
training,32,math,,wrong_answer,parseable_wrong_answer,2,0,0.0
training,4,gsm8k,,format_error,non_truncated_format_failure,4,0,0.0
training,4,gsm8k,,verified_pass,canonical_pass,1,0,0.0
training,4,gsm8k,,wrong_answer,parseable_wrong_answer,3,0,0.0
training,4,math,,verified_pass,canonical_pass,6,0,0.0
training,4,math,,wrong_answer,parseable_wrong_answer,2,0,0.0
training,5,gsm8k,,format_error,non_truncated_format_failure,6,0,0.0
training,5,gsm8k,,parse_error,parse_error,1,0,0.0
training,5,gsm8k,,verified_pass,canonical_pass,1,0,0.0
training,5,math,,verified_pass,canonical_pass,1,0,0.0
training,5,math,,wrong_answer,parseable_wrong_answer,7,0,0.0
training,6,gsm8k,,format_error,non_truncated_format_failure,8,0,0.0
training,6,math,,format_error,non_truncated_format_failure,7,0,0.0
training,6,math,,wrong_answer,parseable_wrong_answer,1,0,0.0
training,7,gsm8k,,format_error,non_truncated_format_failure,7,0,0.0
training,7,gsm8k,,parse_error,parse_error,1,0,0.0
training,7,math,,format_error,non_truncated_format_failure,4,0,0.0
training,7,math,,format_error,truncated_format_failure,2,2,1.0
training,7,math,,verified_pass,canonical_pass,1,0,0.0
training,7,math,,wrong_answer,parseable_wrong_answer,1,0,0.0
training,8,gsm8k,,format_error,non_truncated_format_failure,1,0,0.0
training,8,gsm8k,,parse_error,parse_error,2,0,0.0
training,8,gsm8k,,verified_pass,canonical_pass,1,0,0.0
training,8,gsm8k,,wrong_answer,parseable_wrong_answer,4,0,0.0
training,8,math,,format_error,truncated_format_failure,4,4,1.0
training,8,math,,verified_pass,canonical_pass,1,0,0.0
training,8,math,,wrong_answer,parseable_wrong_answer,3,0,0.0
training,9,gsm8k,,format_error,non_truncated_format_failure,6,0,0.0
training,9,gsm8k,,parse_error,parse_error,1,0,0.0
training,9,gsm8k,,wrong_answer,parseable_wrong_answer,1,0,0.0
training,9,math,,format_error,non_truncated_format_failure,1,0,0.0
training,9,math,,parse_error,parse_error,3,0,0.0
training,9,math,,wrong_answer,parseable_wrong_answer,4,0,0.0
validation,16,gsm8k,gsm8k,format_error,non_truncated_format_failure,28,0,0.0
validation,16,gsm8k,gsm8k,format_error,truncated_format_failure,1,1,1.0
validation,16,gsm8k,gsm8k,wrong_answer,parseable_wrong_answer,3,0,0.0
validation,16,math,Level 1,format_error,non_truncated_format_failure,2,0,0.0
validation,16,math,Level 1,wrong_answer,parseable_wrong_answer,1,0,0.0
validation,16,math,Level 2,format_error,non_truncated_format_failure,6,0,0.0
validation,16,math,Level 2,format_error,truncated_format_failure,1,1,1.0
validation,16,math,Level 2,verified_pass,canonical_pass,1,0,0.0
validation,16,math,Level 3,format_error,non_truncated_format_failure,10,0,0.0
validation,16,math,Level 3,verified_pass,canonical_pass,1,0,0.0
validation,16,math,Level 3,wrong_answer,parseable_wrong_answer,2,0,0.0
validation,16,math,Level 4,format_error,non_truncated_format_failure,3,0,0.0
validation,16,math,Level 4,format_error,truncated_format_failure,1,1,1.0
validation,16,math,Level 4,verified_pass,canonical_pass,1,0,0.0
validation,16,math,Level 5,format_error,non_truncated_format_failure,2,0,0.0
validation,16,math,Level 5,format_error,truncated_format_failure,1,1,1.0
validation,24,gsm8k,gsm8k,format_error,non_truncated_format_failure,27,0,0.0
validation,24,gsm8k,gsm8k,format_error,truncated_format_failure,1,1,1.0
validation,24,gsm8k,gsm8k,parse_error,parse_error,1,0,0.0
validation,24,gsm8k,gsm8k,verified_pass,canonical_pass,1,0,0.0
validation,24,gsm8k,gsm8k,wrong_answer,parseable_wrong_answer,2,0,0.0
validation,24,math,Level 1,format_error,non_truncated_format_failure,1,0,0.0
validation,24,math,Level 1,wrong_answer,parseable_wrong_answer,2,0,0.0
validation,24,math,Level 2,format_error,non_truncated_format_failure,6,0,0.0
validation,24,math,Level 2,format_error,truncated_format_failure,2,2,1.0
validation,24,math,Level 3,format_error,non_truncated_format_failure,11,0,0.0
validation,24,math,Level 3,verified_pass,canonical_pass,1,0,0.0
validation,24,math,Level 3,wrong_answer,parseable_wrong_answer,1,0,0.0
validation,24,math,Level 4,format_error,non_truncated_format_failure,3,0,0.0
validation,24,math,Level 4,format_error,truncated_format_failure,1,1,1.0
validation,24,math,Level 4,verified_pass,canonical_pass,1,0,0.0
validation,24,math,Level 5,format_error,non_truncated_format_failure,2,0,0.0
validation,24,math,Level 5,format_error,truncated_format_failure,1,1,1.0
validation,32,gsm8k,gsm8k,format_error,non_truncated_format_failure,29,0,0.0
validation,32,gsm8k,gsm8k,wrong_answer,parseable_wrong_answer,3,0,0.0
validation,32,math,Level 1,format_error,non_truncated_format_failure,2,0,0.0
validation,32,math,Level 1,wrong_answer,parseable_wrong_answer,1,0,0.0
validation,32,math,Level 2,format_error,non_truncated_format_failure,5,0,0.0
validation,32,math,Level 2,format_error,truncated_format_failure,2,2,1.0
validation,32,math,Level 2,verified_pass,canonical_pass,1,0,0.0
validation,32,math,Level 3,format_error,non_truncated_format_failure,10,0,0.0
validation,32,math,Level 3,verified_pass,canonical_pass,1,0,0.0
validation,32,math,Level 3,wrong_answer,parseable_wrong_answer,2,0,0.0
validation,32,math,Level 4,format_error,non_truncated_format_failure,1,0,0.0
validation,32,math,Level 4,format_error,truncated_format_failure,2,2,1.0
validation,32,math,Level 4,verified_pass,canonical_pass,1,0,0.0
validation,32,math,Level 4,wrong_answer,parseable_wrong_answer,1,0,0.0
validation,32,math,Level 5,format_error,non_truncated_format_failure,2,0,0.0
validation,32,math,Level 5,format_error,truncated_format_failure,1,1,1.0
validation,8,gsm8k,gsm8k,format_error,non_truncated_format_failure,29,0,0.0
validation,8,gsm8k,gsm8k,verified_pass,canonical_pass,1,0,0.0
validation,8,gsm8k,gsm8k,wrong_answer,parseable_wrong_answer,2,0,0.0
validation,8,math,Level 1,format_error,non_truncated_format_failure,2,0,0.0
validation,8,math,Level 1,wrong_answer,parseable_wrong_answer,1,0,0.0
validation,8,math,Level 2,format_error,non_truncated_format_failure,5,0,0.0
validation,8,math,Level 2,format_error,truncated_format_failure,2,2,1.0
validation,8,math,Level 2,wrong_answer,parseable_wrong_answer,1,0,0.0
validation,8,math,Level 3,format_error,non_truncated_format_failure,11,0,0.0
validation,8,math,Level 3,verified_pass,canonical_pass,1,0,0.0
validation,8,math,Level 3,wrong_answer,parseable_wrong_answer,1,0,0.0
validation,8,math,Level 4,format_error,non_truncated_format_failure,4,0,0.0
validation,8,math,Level 4,format_error,truncated_format_failure,1,1,1.0
validation,8,math,Level 5,format_error,non_truncated_format_failure,2,0,0.0
validation,8,math,Level 5,format_error,truncated_format_failure,1,1,1.0
