byte_size,contains_adapter,contains_completion_text_or_trusted_gold,contains_optimizer_scheduler_rng,download_verification_status,exclusion_reason,item_type,notes,preservation_target,scientific_purpose,sha256,sha_kind,source_path,upload_status
728480,False,True,False,fresh_clone_and_release_bundle_verified,,git_safe_directory,files=56,Git + GitHub Release evidence/reproducibility bundle,"Four-model aggregate, statistics, errors and figure sources",b196165b0fbc2f8caad4fe26c37c74fc5155c5438c6de69aa92dc8fd0cec320a,canonical_tree_inventory_sha256,reports/grpo_v2/hidden_test_final,git_and_corresponding_release_bundle_preserved
13893042,False,True,False,fresh_clone_and_release_bundle_verified,,git_safe_directory,files=235,Git + GitHub Release evidence/reproducibility bundle,Portfolio-v1 formal evidence and reports,468afc99b813944d9d958a7f2af534b7ecb6720866327c040e9deadf413e5d46,canonical_tree_inventory_sha256,reports/formal_1p5b,git_and_corresponding_release_bundle_preserved
481061,False,True,False,fresh_clone_and_release_bundle_verified,,git_safe_directory,files=40,Git + GitHub Release evidence/reproducibility bundle,Matched 0.5B pilot evidence,1aa47765390f1cab5488be72e7008da521c893f18b8ddb860a797618404d4679,canonical_tree_inventory_sha256,reports/pilot_0p5b,git_and_corresponding_release_bundle_preserved
1257285,False,False,False,fresh_clone_and_release_bundle_verified,,git_safe_directory,files=48,Git + GitHub Release evidence/reproducibility bundle,Frozen configs and manifests,decfe4c3ac1185d5f7a837e7335abb8c3cc8657792a464d93b41b6341a7ad8eb,canonical_tree_inventory_sha256,configs,git_and_corresponding_release_bundle_preserved
16061659,True,False,False,independent_download_sha_extract_internal_checksums_verified,,release_asset_tar_gz,,GitHub Release v0.2.1-grpo-v2-archive + Windows/private download,Exact evaluated adapter-only inference bundle,799adff43a98d991624f3719973d42337f502ea678304ade0ccc3470317047e1,file_sha256,/root/autodl-fs/math-rlvr-backups/stage-t1-release-assets/old-grpo-v1-checkpoint-32-adapter-v0.2.1.tar.gz,uploaded_github_release_v0.2.1
15843701,True,False,False,independent_download_sha_extract_internal_checksums_verified,,release_asset_tar_gz,,GitHub Release v0.2.1-grpo-v2-archive + Windows/private download,Exact evaluated adapter-only inference bundle,be45ffd2014b7e1acf8abc56277e0a7a57e1a03e3c5dcdc83205a6cc06256122,file_sha256,/root/autodl-fs/math-rlvr-backups/stage-t1-release-assets/warmstart-checkpoint-16-adapter-v0.2.1.tar.gz,uploaded_github_release_v0.2.1
16090414,True,False,False,independent_download_sha_extract_internal_checksums_verified,,release_asset_tar_gz,,GitHub Release v0.2.1-grpo-v2-archive + Windows/private download,Exact evaluated adapter-only inference bundle,c9690ab2f4190a12568ad63cc75881b4cdaf8cb12575301c5f29e5e0a93c3ce5,file_sha256,/root/autodl-fs/math-rlvr-backups/stage-t1-release-assets/selected-grpo-v2-checkpoint-96-adapter-v0.2.1.tar.gz,uploaded_github_release_v0.2.1
2103748,False,True,False,independent_download_sha_extract_internal_checksums_verified,,release_asset_tar_gz,,GitHub Release v0.2.1-grpo-v2-archive + Windows/private download,Public disaster-recovery evidence/reproducibility bundle,5cc622ea90a63a386c27d30bc4378456be168c72aa2614af5f6c266d8076f74b,file_sha256,/root/autodl-fs/math-rlvr-backups/stage-t1-release-assets/grpo-v2-training-evidence-v0.2.1.tar.gz,uploaded_github_release_v0.2.1
3368730,False,True,False,independent_download_sha_extract_internal_checksums_verified,,release_asset_tar_gz,,GitHub Release v0.2.1-grpo-v2-archive + Windows/private download,Public disaster-recovery evidence/reproducibility bundle,dd4a89701ba037b8d4d130e72049a756138b7128385d28de255994a698d697e2,file_sha256,/root/autodl-fs/math-rlvr-backups/stage-t1-release-assets/four-model-hidden-evidence-v0.2.1.tar.gz,uploaded_github_release_v0.2.1
8229078,False,True,False,independent_download_sha_extract_internal_checksums_verified,,release_asset_tar_gz,,GitHub Release v0.2.1-grpo-v2-archive + Windows/private download,Public disaster-recovery evidence/reproducibility bundle,78cb18670b1fa1345c6b78d63f7251aac854ba4ccaaca2de57f5f935447b9b69,file_sha256,/root/autodl-fs/math-rlvr-backups/stage-t1-release-assets/portfolio-v1-evidence-v0.2.1.tar.gz,uploaded_github_release_v0.2.1
775367,False,False,False,independent_download_sha_extract_internal_checksums_verified,,release_asset_tar_gz,,GitHub Release v0.2.1-grpo-v2-archive + Windows/private download,Public disaster-recovery evidence/reproducibility bundle,0888a070ee8206d387249485fb3af30709474d1cd1427f0f90f6a6782b9cf52b,file_sha256,/root/autodl-fs/math-rlvr-backups/stage-t1-release-assets/reproducibility-v0.2.1.tar.gz,uploaded_github_release_v0.2.1
,False,False,False,not_applicable,Base-model/Hugging Face cache is large and must not be uploaded,excluded_cache,,Rebuild from public model revision,Public pinned Qwen base snapshot cache,989aa7980e4cf806f80c7fef2b1adb7bc71aa306,public_revision_identity,/root/autodl-tmp/cache/huggingface,excluded
,False,False,False,not_verified_off_server,Not required for inference; large training state intentionally excluded from public Release,excluded_private_resume_state,,Windows/private persistent storage if exact resume is desired,Exact training resume capability,,see_checkpoint_inventories,GRPO-v2 full optimizer/scheduler/RNG checkpoints,not_publicly_uploaded
,False,False,False,not_applicable,"Complete environment is large, nonportable and prohibited",excluded_environment,,Rebuild from requirements and environment_versions.json,Runtime environment,,reconstructed_from_versions,Conda/Python environment binary tree,excluded
,False,False,False,not_applicable,Secrets must never enter Git or Release assets,excluded_secret,,Never archive in project assets,Authentication only; no scientific purpose,,not_recorded,Credentials/.env/auth/token/proxy/Codex auth,excluded
